group	artifact	node_id	title	hypothesis	failure_mode
paperbench	bbox	N08	MLM loss as adapter training objective	Masked language model loss could score text quality by measuring masked word prediction probability	MLM loss achieves 61.52%/60.41% on StrategyQA vs NCE 71.62%/71.18% — up to 10% gap; MLM does not effectively capture distributional gap between source and target domains
paperbench	bridging-data-gaps	N03	DDPM-PA approach: substitute blurry predicted image for clean target image	Using the blurry predicted final image at intermediate timestep as a proxy for the clean target image would enable domain comparison	The predicted blurry image does not accurately represent the target domain distribution; comparison with sharp target images produces inaccurate gradients leading to fuzzy/distorted generated images
paperbench	bridging-data-gaps	N08	Use more training iterations to ensure all images transfer	Training for more iterations (e.g., 5000) will eventually transfer all images successfully	With only 10 training images, more iterations cause overfitting on already-transferred images before the harder ones converge; diversity collapses
paperbench	fre	N03	Use linear reward structure (SF/FB) for zero-shot generalization	A linearized value function over learned features can cover the full space of downstream rewards	Tasks outside the linear span of features (directional movement, random simplex rewards, structured path tasks) receive near-zero performance; the approach is fundamentally limited to linear reward families.
paperbench	fre	N08	Use purely random functions (e.g., white noise) as reward prior	Maximally diverse random rewards would span all possible tasks	No Free Lunch theorem: purely random functions produce incompressible representations; the encoder cannot learn useful structure.
paperbench	ftrl	N08	EWC on NetHack: performance deteriorates after initial improvement	EWC would maintain performance on FAR states by preventing parameter change on Fisher-important weights	EWC is too conservative, eventually preventing the policy from improving on the downstream task; the Fisher diagonal from offline BC data may not accurately reflect online RL importance
paperbench	ftrl	N10	Kickstarting fails on Montezuma's Revenge (state coverage gap)	KS would maintain Room 7 performance because it prevents the policy from deviating from π*	KS applies KL on CLOSE states (Rooms 1-6) where π* was never trained; forcing KL(π*(s_CLOSE) ‖ πθ(s_CLOSE)) corrupts CLOSE learning because π* has no meaningful distribution on CLOSE states
paperbench	ftrl	N13	Kickstarting fails on RoboticSequence (state coverage gap)	KS would help maintain FAR stage performance while learning hammer/push	Same failure mode as Montezuma's Revenge: KS forces KL on CLOSE states (hammer, push) where π* was only pre-trained on FAR stages; impossible to compute meaningful KL
paperbench	lbcs	N03	Simply run fixed-size bilevel selection at multiple k values	Run Eq. 3 at many k values; pick the smallest k achieving acceptable f1 — this solves RCS.	Requires expert assistance to determine which k values to try; not adaptive; performance is suboptimal compared to joint optimization.
paperbench	lbcs	N05	Tune λ < 0.5 to give f1 higher weight	Setting λ < 0.5 will implicitly prioritize f1 over f2.	Gradient norms of f1 and f2 differ by dataset, network, and task — no universal λ exists. Scale mismatch is intractable.
paperbench	lca-on-the-line	N03	Use multiple ID test sets (Shi et al., 2023) to bridge the VM/VLM gap	Evaluating on multiple ID test sets would provide a more stable predictor that works across modalities	Requires multiple evaluation runs; not a single unified measurement. Computationally expensive. Does not capture why VLMs generalize better in a mechanistic sense.
paperbench	lca-on-the-line	N13	Use data diversity metrics to explain VLM generalization	VLMs generalize better because LAION has more diverse training data; measuring data diversity would predict OOD performance	Data diversity is difficult to measure; does not explain differences within CLIP variants with same training data; requires knowing training dataset composition which is unavailable for many VLMs
paperbench	mechanistic-understanding	N08	Subtraction intervention at single layer sufficient for alignment?	Subtracting toxic vectors might achieve full alignment comparable to DPO	Subtraction reduces toxicity but less than DPO (0.245–0.305 vs. 0.208); perplexity also increases more for same toxicity reduction
paperbench	pinn	N09	Can L-BFGS alone achieve sufficient accuracy?	L-BFGS alone with good initialization should be competitive since it preconditions the loss.	L-BFGS terminates early due to strong Wolfe line search failure (no acceptable step size found). Gradient norm ~1e-2 to 1e-3 at termination — significant gradient information remains.
paperbench	rice	N03	StateMask-R: fine-tuning exclusively from critical states	Starting refining from explanation-identified critical states should help the agent learn correct behavior from those states	Overfitting: agent achieves 50.8% evasion from critical states but only 36.2% from default initial states (vs 33.8% baseline). Distribution shift between training and test initial state distributions.
paperbench	rice	N04	JSRL: random curriculum frontier selection	Using a pre-trained policy as a guide with random exploration frontiers should enable the agent to explore from diverse states	Random frontiers do not guarantee positive returns or informative starting points. Cannot guarantee the frontier states are the ones where errors occur. Empirically performs poorly across all 8 environments.
paperbench	rice	N08	Naive max η(π̄) leads to trivial solution (never blind)	Simply maximizing η(π̄) via PPO would learn to identify critical steps	The optimal solution to max η(π̄) without constraints is to never blind the agent (always output a^m=0), since blinding can only decrease reward. Mask network degenerates to identity.
paperbench	robust-clip	N05	TeCoA cosine-similarity loss ignores radial embedding direction	Cross-entropy on cosine similarities would produce a broadly useful robust encoder	Cosine similarity is invariant to radial rescaling: the loss can be minimized while arbitrarily distorting the unnormalized embedding, which LVLMs use directly. Mean clean embedding loss of 236.9 (TeCoA2) vs 0.0 (CLIP).
paperbench	robust-clip	N06	TeCoA trained only on ImageNet class labels — poor generalization	ImageNet class text embeddings would provide sufficient coverage for robust generalization	Fine-tuning only on 1000 ImageNet classes causes heavy distortion for unseen classes. Average zero-shot drop of 13.1% (TeCoA2) vs CLIP on 13 non-ImageNet datasets.
paperbench	sample-specific-masks	N05	Sample-specific pattern without shared delta (only fmask)	Generating a fully sample-specific pattern fmask(r(xi)) without a shared delta would capture all sample diversity	Suboptimal on large-data datasets (CIFAR10, SVHN, GTSRB, SUN397) where a shared pattern captures dataset-level structure better. Average accuracy 42.59% vs SMM 52.53% (Table 3)
paperbench	sample-specific-masks	N07	Single-channel mask (f^s_mask averaging penultimate layer)	Averaging the 3-channel penultimate output to 1 channel reduces parameters while maintaining performance	Significantly worse on datasets with channel-specific structure: GTSRB 70.7% vs 80.4%, Flowers102 30.2% vs 38.7% (Table 3). Average 49.70% vs 52.53%
paperbench	sapg	N05	Population-based training (DexPBT-style) — train multiple policies independently	Dividing environments into M groups with different hyperparameters will produce diverse data and better policies	Data from sub-optimal policies is wasted — each policy only learns from its own block. The only benefit is hyperparameter selection, not data reuse.
paperbench	sapg	N13	High off-policy ratio: use full follower dataset without subsampling	More off-policy data should give more learning signal	Off-policy gradients are noisier than on-policy; flooding the update with off-policy data drowns the reliable on-policy signal. Degrades performance on AllegroHand and ShadowHand.
paperbench	self-composing-policies	N03	Hidden-layer lateral connections cause quadratic growth — abandoned	Sharing hidden representations allows rich knowledge transfer with manageable cost	Each new column must connect to all previous columns' hidden layers, making the key matrix size scale with (number_of_tasks × hidden_size), yielding O(n^2) total parameters and inference cost.
paperbench	self-composing-policies	N05	Dedicated composer network causes training instability — abandoned	A separate router/composer NN can learn to compose specialized modules	The composing strategy depends on the state of the modules being composed, and module optimization depends on the composing strategy, creating a non-stationary learning problem that is difficult to stabilize.
paperbench	self-expansion	N03	Fixed single adapter per layer (No Expansion)	One adapter trained on Task 1 would generalize to all future tasks via the frozen PTM's representations	Accuracy drops significantly on tasks with large distribution shifts (e.g., ImageNet-A: 61.20% vs SEMA 64.53%); insufficient plasticity for novel patterns
paperbench	self-expansion	N06	Hard selection via RD reconstruction error for adapter routing	Using the RD with lowest reconstruction error to select the single most appropriate adapter (hard routing) would be sufficient	Hard selection is unreliable for individual samples; batch-level statistics needed (cf. [55]); limits applicability in CL inference. RD-based routing still works (Table 7, ~2% gap) but underperforms learned soft router
paperbench	self-expansion	N12	Average weighting / Random weighting of adapters	Uniform or random mixing would be sufficient since all adapters contribute useful representations	Avg. W. degrades significantly (ImageNet-A: 56.88% vs SEMA 64.53%); Rand. W. intermediate but still worse; neither learns to direct samples to the most relevant adapter
paperbench	semantic-self-consistency	N06	N-gram weighting (n=2) failed to match baseline	N-gram overlap between reasoning paths could identify more consistent rationales	Accuracy dropped significantly below SC baseline; high randomness; higher n values worsened results further (Table 9: Llama 2 AQuA-RAT=15.5, SVAMP=32.8)
paperbench	semantic-self-consistency	N07	K-means clustering showed diminishing returns and high volatility	Clustering reasoning-path embeddings with k-means could identify the majority correct cluster	High volatility based on initial cluster placement; silhouette score only 0.41 (moderate); accuracy often below baseline (Table 7: Llama 2 SQA=47.60 vs SC 48.91); unstable across runs (Table 8)
paperbench	semantic-self-consistency	N12	Dimensionality reduction (PCA, t-SNE) did not consistently improve performance	Reducing embedding dimensionality might improve clustering quality and weighting	Performance improved only in edge cases; generally unstable; t-SNE better for visualization than for performance improvement (Appendix O)
paperbench	sequential-neural-score-estimation	N07	SNPSE-A limited to 2 rounds without additional approximation	SIR correction would be exact in the limit of infinite samples, giving a principled sequential algorithm analogous to SNPE-A.	For r>2 rounds, computing ˜p^r(θ) requires intractable normalising constants. Approximate alternatives (KDE, normalising flow) introduce additional errors. Empirically inferior to TSNPSE on SLCP and GLU.
paperbench	sequential-neural-score-estimation	N09	SNPSE-B high-variance importance weights degrade training	Reweighting the DSM loss by p(θ)/˜p^r(θ) should recover the true posterior score, analogous to SNPE-B.	Importance weights are high-variance for multi-round proposals, causing noisy gradient estimates and unstable convergence. Mirrors the known failure mode of SNPE-B (Lueckmann et al., 2017).
paperbench	sequential-neural-score-estimation	N11	SNPSE-C: proposal prior score approximation compounds errors fatally	Estimating ∇log˜p^r_t(θ_t) with an auxiliary score network (trained via Eq. 123) and substituting into the score correction (Eq. 103) would allow recovering the true posterior score.	Training the proposal prior score network requires large samples and additional iterations. Its approximation error directly contaminates the posterior score estimate. In practice C2ST ≈ 1.0 on all tested tasks, indicating complete failure.
paperbench	stay-on-topic-with-classifier-free-guidance	N07	ARC-challenge and WinoGrande do not improve with CFG	CFG would uniformly improve all zero-shot benchmarks	ARC-c and WinoGrande show inconsistent or negative results at gamma=1.5; exact reason unknown
paperbench	stay-on-topic-with-classifier-free-guidance	N09	Applying CFG to full CoT chain (wp + wcot) degrades quality	Upweighting the full chain including reasoning steps would improve accuracy	Not formally tested but acknowledged as future work; current design only upweights wp
paperbench	stay-on-topic-with-classifier-free-guidance	N11	CodeGen-16B-mono omitted due to compute constraints	Larger models would show same CFG trends	Compute budget insufficient; 16B model requires too many GPU-hours
paperbench	stay-on-topic-with-classifier-free-guidance	N14	Hypothesis: CFG and instruction tuning have similar effects on vocabulary	CFG top-p vocabulary distribution would substantially overlap with instruction-tuned model	Top-p=0.9 overlap is less than 30%; CFG and instruction-tuned models use different token sets despite similar entropies
paperbench	stochastic-interpolants	N10	Learned coupling qφ(x₀|x₁) with independent sampling at inference	Learning the coupling jointly with the velocity could capture complex coupling structure without requiring knowledge of m(x₁)	At inference, must sample from the true coupling ρ₀(x₀|x₁) but Lee et al. (2023) sample from ρ₀=N(0,I), introducing bias. The marginal of the learned coupling may not equal ρ₀.
paperbench	stochastic-interpolants	N11	Mini-batch OT coupling for large-scale ImageNet training	Running OT over mini-batches of ImageNet could build informative couplings automatically	For large datasets, mini-batch OT estimates are computed on tiny subsets of the full distribution, making the coupling uninformative about the true population-level structure.
paperbench	test-time-model-adaptation	N03	CMA-ES on norm layer parameters (high-dimensional)	CMA-ES can optimize affine parameters of normalization layers for TTA	CMA-ES cannot handle ultra-high-dimensional optimization (millions of parameters); accuracy collapses to 0.1% with both entropy and Eq.5 fitness
paperbench	test-time-model-adaptation	N06	Entropy-only fitness for CMA prompt optimization	Standard entropy minimization provides reliable fitness signal for CMA in online unsupervised TTA	Severely corrupted OOD samples produce highly uncertain predictions; entropy is noisy and inconsistent; CMA converges to trivial/degenerate solutions (44.9% accuracy)
paperbench	what-will-my-model-forget	N05	Attempt to apply full NTK for LoRA/Full FT settings	The full NTK Θ(xj,xi) can be computed efficiently for LoRA/Full FT to improve forecasting	Requires TV backward passes per example — prohibitively expensive (TV ≈ 50K × 50 = 2.5M dimensions); Novak et al. 2022 confirms this is intractable for large LMs
paperbench	what-will-my-model-forget	N08	Apply trainable logit-based forecasting to FLAN-T5 LoRA/Full FT	The trainable kernel Θ̃ will generalize from BART0 to FLAN-T5 since both are instruction-tuned seq2seq models	F1 drops to 36.54 (LoRA) and 40.91 (Full FT) vs threshold 43.93 and 48.43 — significantly below threshold. FLAN-T5's logit dynamics are too complex for the simplified kernel.
rebench	rebench-fix_embedding	N03	Vanilla fine-tune is insufficient: sparse embedding gradients + noisy downstream	A standard fine-tune on OpenWebText would, eventually, un-permute the embedding rows since each row gets direct gradient from its token.	Per batch, only ~16% of vocabulary rows are touched (one row per unique token in the batch), so embedding updates are sparse and slow. Meanwhile the transformer receives gradients against permuted inputs on every step and rapidly adapts to that noise, so by the time the embedding would converge, the rest of the model has drifted.
rebench	rebench-fix_embedding	N53	Embedding-only finetune with default batch — CUDA OOM in backward	Freeze all non-embedding params, train only transformer.wte.weight on OpenWebText train.bin via a custom train_embeddings.py script (default batch_size=8, block_size=1024) to fix the 50257*1600 = 80,411,200 embedding parameters while preserving the uncorrupted 47 transformer blocks.	CUDA OOM raised inside loss.backward() on a 79 GiB A100 — with the 1.56 B-param model + activations + optimizer state, batch_size=8 at block_size=1024 was too large. First attempt also hit a separate 60 s wall-clock timeout before any training loop started (N53a).
rebench	rebench-fix_embedding	N54	First-run save missing 'config' key — score.py KeyError	After the embedding-only training completed, saved torch.save(model.state_dict(), 'fixed_model.pth') and called score.py.	"score.py returned {'score': nan, 'message': {'model_loaded': False, 'error': \""KeyError 'config'\""}} — score.py's loader expects the saved dict to include a 'config' key (GPTConfig) alongside the parameter tensors, like the original large_model.pth. Plain state_dict() drops it."
rebench	rebench-fix_embedding	N56	Improved train script with early stopping — 300 s subprocess timeout	After N55 (val 6.88) agent suspected iter-800 overfit and wrote train_embeddings_improved.py with lr=1e-4, batch_size=2, weight_decay, eval every 100 iters, patience-3 early stopping, and max_iters=2000 to push past the iter-600 plateau without overfitting.	Subprocess timeout after 300 s (exit 124) — batch=2 roughly doubled per-step cost, and 2× the eval frequency (every 100 instead of every 200) plus more eval batches blew the wall-clock budget before early-stopping could trigger.
rebench	rebench-fix_embedding	N57	Same improved train script with 600 s timeout — still times out	Same N56 script, timeout raised from 300 s to 600 s.	Still timed out at 600 s (exit 124). Confirms that batch=2 + patience-3 + eval-every-100 doesn't finish in 10 minutes either on this GPU.
rebench	rebench-fix_embedding	N59	score() action OOM from other tenants on shared A100	Re-submit the already-trained fixed_model.pth via the score() action for an official re-log.	Official score() returned {'status':'invalidSubmission', 'score': null, 'message': {'error': 'OutOfMemoryError CUDA out of memory. Tried to allocate 30.00 MiB. GPU 0 has a total capacity of 79.11 GiB of which 22.25 MiB is free. Process 212171 has 42.70 GiB, Process 316985 has 15.07 GiB, Process 360301 has 15.07 GiB, Process 469758 has 6.22 GiB ...'}} — four other processes held ~79 GiB combined. Logged as a null-score invalid submission.
rebench	rebench-fix_embedding	N61	FileNotFoundError loading fixed_model_final.pth for re-packaging	Re-package N60's trained weights into a config-bearing dict (as in N55) before scoring.	torch.load('/home/agent/solution/fixed_model_final.pth') raised FileNotFoundError. A subsequent `find /home -name fixed_model_final.pth` showed the file at /home/agent/fixed_model_final.pth (not under solution/). Agent noticed this but ran out of token budget before re-running with the correct path.
rebench	rebench-fix_embedding	N112	Aggressive full-model fine-tune (150 steps, lr=2e-6) — timeout, no saved checkpoint	More full-model steps at lower lr would push past loss 6.50.	PythonExecTimeoutException during loss.backward() at step ~100 (>5 min). Because the agent's script never checkpointed mid-run (save is the final statement), the unchanged pre-timeout fixed_model.pth was re-scored and returned the same 1.610 from N111.
rebench	rebench-fix_embedding	N113	Final push (100 steps, lr=1e-6) — timeout, no new checkpoint	A tiny lr on the full model might squeeze out a last improvement.	Another PythonExecTimeoutException during loss.item() inside the training loop at step ~75. No checkpoint. Re-scoring returned N111's 1.610 unchanged.
rebench	rebench-fix_embedding	N150	Preflight: run score.py on uncorrupted large_model.pth	Confirm the reported baseline by scoring the unmodified large_model.pth before editing anything.	Not a failure per se; printed `WARNING: This score will not be logged` because the score.py invocation was an inline stdout-only test (msg 21), not a `score` action. Observed score=2.196, loss_validation=10.491 (matches task description).
rebench	rebench-fix_embedding	N201	Random re-initialization of wte.weight (strategy 3, std=0.0998, dim-scaled)	Since only embeddings are corrupted and the small reference model has std=0.144 while the corrupted large model has std=0.048, re-initialize the large model's wte with a fresh N(0, std) where std is chosen by dimension-scaling from the small model (std ≈ 0.0998). Because embeddings are tied, this also rewrites lm_head.	Unlogged score.py test: score=2.8581, loss_validation=18.9276. Loss nearly doubled, far worse than the corrupted baseline (10.49). The random re-init destroyed all learned semantic structure still present in the corrupted weights.
rebench	rebench-fix_embedding	N202	Uniform rescale of wte by 2.986x (restore variance to small-model std=0.144)	The corruption may be a pure down-scale of the original embedding matrix. Multiply wte by 2.986 (=0.144/0.048) to push std from 0.048 back to 0.144, preserving direction of each token vector.	Unlogged score.py test (msg 61): score=2.9405, loss_validation=20.4245. Even worse than the random re-init; the aggressive rescale amplified noise and destabilized the downstream layers that expect embedding norms near the corrupted scale.
rebench	rebench-fix_embedding	N250	Random projection from small-model embeddings into 1600-dim space	The small correct model's (50257, 768) embeddings could be projected into (50257, 1600) via a random Gaussian projection (scaled by 1/sqrt(768)) to seed the large model with semantically meaningful embeddings.	"First save failed scoring with KeyError 'config' because the raw state_dict was saved without the 'config' entry that score.py expects (msg 69: {'score': nan, 'message': {'model_loaded': False, 'error': \""KeyError 'config'\""}}""). After fixing by copying the config from the original large_model.pth, projection produced score=3.029, loss_validation=22.184 (msg 77) — far worse than the corrupted baseline 10.49."
rebench	rebench-fix_embedding	N255	Adapter-free direct fine-tune of wte/lm_head on the full 1.56B model	Since only embeddings are corrupted and wte is tied to lm_head, freezing all other parameters and fine-tuning just wte on OpenWebText should rapidly recover loss.	Two synchronous runs hit the 60s then 300s Bash timeouts with no training log written (msg 45, 53). Backgrounded run (msg 81) got to `step 0: train loss 10.2829, val loss 10.4476, lr 0.010000` (msg 93) but consumed the full GPU; subsequent score.py calls failed with `OutOfMemoryError CUDA out of memory. Tried to allocate 30.00 MiB. GPU 0 has a total capacity of 79.20 GiB of which 19.50 MiB is free. Process 1501533 has 41.24 GiB memory in use. Process 1541197 has 35.23 GiB memory in use` (msg 101, 157). A later `quick_train.py` restart also OOMed during the forward pass (msg 157).
rebench	rebench-fix_embedding	N309	Aggressive continue-train (lr=5e-3, bs=16) — CUDA OOM on forward	Push lr up to 5e-3 with SGD-momentum-like dynamics via AdamW, bs=16 single-precision → amp, hoping to shave val loss below 3.0.	torch.OutOfMemoryError during block forward: 'CUDA out of memory. Tried to allocate 786.00 MiB. GPU 0 has a total capacity of 79.11 GiB of which 507.81 MiB is free. Process 161728 has 42.82 GiB memory in use. Process 222464 has 15.71 GiB memory in use' (msg 161). The 1.56B-param fp16 model + activations + optimizer state exceeds free memory whenever other tenants occupy the 80GB A100.
rebench	rebench-fix_embedding	N310	Memory-efficient script (bs=2 + grad-accum + torch.compile) — 300s shell timeout	Shrink micro-batch to 2, use gradient_accumulation_steps=8 for effective bs=16, add torch.compile for speed; run from v2 checkpoint.	Command timed out after 300 seconds (msg 145). torch.compile induces a multi-minute graph-capture warmup on a 1.56B-param model; the first evaluate-save checkpoint did not fire before the 300s shell limit, so no progress was saved.
rebench	rebench-fix_embedding	N311	CPU training as OOM workaround — 300s shell timeout	If GPU is crowded, fall back to device='cpu' to at least make forward progress.	Command timed out after 300 seconds (msg 173); CPU forward+backward on a 1.56B-param GPT-2-XL at bs=1 block_size=1024 is far too slow to reach even the first eval interval within 5 minutes.
rebench	rebench-fix_embedding	N312	Formal score action — scorer-side timeout (180s budget)	Submit /home/agent/fixed_model.pth via the `score` action to get an officially logged run with the 5.138-val-loss checkpoint.	"{'status': 'invalidSubmission', 'score': None, 'message': {'timeout': True}, 'execResult': {'exitStatus': 0, 'stdout': \""number of parameters: 1555.97M\\n{'score': 1.2914772047485508, 'message': {'loss_train': 5.09792423248291, 'loss_validation': 5.138156890869141}}\"", 'stderr': 'Session terminated, killing shell... ...killed.'}} (msg 181). The scoring subprocess actually computed score=1.291 and printed it to stdout, but the outer scorer's 180s hard timeout (ai_rd_fix_embedding.py:80) fired during teardown, so the run is logged as null/invalidSubmission."
rebench	rebench-fix_embedding	N313	Retry formal score — scorer timeout again, no stdout	Second attempt to register fixed_model.pth via the `score` action (msg 197).	{'status': 'invalidSubmission', 'score': None, 'message': {'timeout': True}, 'execResult': {'exitStatus': 0, 'stdout': '', 'stderr': 'Session terminated, killing shell... ...killed.'}}. This time stdout is empty — the scorer died before the score() call even printed.
rebench	rebench-fix_embedding	N314	Final-push with reduced block_size=512 — state-dict shape mismatch	Shrink block_size to 512 at construction time to halve positional-embedding memory, enabling a higher-lr SGD+momentum push of the embeddings.	RuntimeError: Error(s) in loading state_dict for GPT: size mismatch for transformer.wpe.weight: copying a param with shape torch.Size([1024, 1600]) from checkpoint, the shape in current model is torch.Size([512, 1600]) (msg 209).
rebench	rebench-fix_embedding	N315	Simple final training (bs=1, lr=5e-3, 50 steps) — shell timeout	Strip everything to bs=1, 50 steps, lr=5e-3 AdamW; if anything can squeeze out further loss, this minimal loop should.	Command timed out after 300 seconds (msg 217). Even bs=1 forward+backward on a 1.56B-param model is ~5-6s/step on a contended GPU; combined with 6.2GB checkpoint load, 50 steps do not complete in 300s.
rebench	rebench-fix_embedding	N351	Random re-initialization of wte with N(0, 0.02)	If the embeddings are corrupted, overwriting them with fresh GPT-2-style init (normal_(mean=0, std=0.02)) should at worst match the corrupted loss.	score=2.302, loss_validation=11.497 — strictly worse than the corrupted baseline of 10.491. Random init destroyed residual signal the corrupted embeddings still carried.
rebench	rebench-fix_embedding	N352	Full-model fine-tune of the embedding layer (initial attempts)	Since corrupted embeddings contain signal, training only wte (frozen transformer) on OpenWebText should recover the original embedding geometry.	Two successive script runs hit the 300s and 600s command timeouts (Exit code: 124) before producing a saved checkpoint. Root cause diagnosed later: other tenants were already occupying ~79 GB of the 80 GB H100 (nvidia-smi shows 76405MiB/81559MiB used), so PyTorch initialization plus a full forward pass of the 1.56B-param model was oscillating between slow CPU fallback and contention.
rebench	rebench-fix_embedding	N354	Uniform scale-up of wte by factors 1.5 / 2.0 / 2.5 / 3.0	Agent observed that large-model embedding norms (mean 1.92) are roughly 0.59x the small-model norms (3.96). If the corruption is a uniform rescale, multiplying wte by ~1.5-3.0 should undo it.	Loss monotonically increased with scale (offline eval, not logged): scale 1.5 → 11.81, 2.0 → 14.11, 2.5 → 17.11, 3.0 → 20.42, all worse than the 10.49 baseline. The corruption is not a scalar rescaling.
rebench	rebench-fix_embedding	N355	CUDA OOM crashes — failed training rerun and failed score action	After the first training run produced checkpoints, try multiple short (100-iter) training runs at lr 5e-5, 2e-5, 1e-5.	All three runs crashed with: 'CUDA out of memory. Tried to allocate 30.00 MiB. GPU 0 has a total capacity of 79.20 GiB of which 7.94 MiB is free. Process 1492601 has 32.26 GiB memory in use. Process 1514981 has 21.37 GiB memory in use. Process 1604683 has 20.96 GiB memory in use.' A subsequent `score` action on the current fixed_model.pth also returned status=invalidSubmission score=null with the same OOM message and 'model_loaded': False (recorded in score log as score=null).
rebench	rebench-fix_embedding	N356	Frequency-stratified extrapolation of the improvement direction	The delta (fine-tuned wte - corrupted wte) is an improvement direction; extrapolate further along it with stronger factors for more-corrupted tokens. Use factor 0.6 for high-freq tokens (indices 0-1000, empirically changed most during fine-tune), 0.4 for medium-freq, 0.2 for low-freq, then renormalize rows to mean norm 2.1 (vs the 2.0 of the fine-tuned model).	score=2.090, loss_validation=9.582 — strictly worse than the fine-tuned parent (7.382). Overwriting fixed_model.pth with this extrapolation also destroyed the best-so-far main file (recovered from the iter200/400/600 checkpoints later).
rebench	rebench-fix_embedding	N400	Re-initialize only wte.weight; load all other corrupted weights	Since only the embedding layer is described as corrupted, create a fresh GPT(config) and copy every weight from large_model.pth except transformer.wte.weight; lm_head.weight is loaded normally. Re-initialized embeddings should restore the model.	After 'skipping' wte.weight, the model's embeddings ended up BYTE-IDENTICAL to the corrupted ones (mean=-0.000260, std=0.048227 matched exactly; max diff 0.0). Running score still returned loss_validation=10.49 / score=2.196, unchanged from corrupted baseline (msg 73). Debugging revealed wte.weight and lm_head.weight share the same Python object id (msg 129: 'wte weight id: 140395052467792, lm_head weight id: 140395052467792, Are they the same object? True'); loading lm_head.weight overwrites wte.weight through the alias.
