group	artifact	claim_id	title	statement	status	status_raw	falsification	proof	dependencies	provenance	tags
extra	expbench	C05	Execution failures are dominated by environment/dependency misconfiguration (29.38%) and script errors (23.84%)	Among execution phase failures, environment/dependency configuration errors account for 29.38% and execution script/file errors account for 23.84%, together constituting over half of all execution failures.	supported	supported	If either prevalence figure changes by more than 5 percentage points in a re-analysis of the same failure logs, this claim would be refuted.	[E03]	C02		failure analysis, execution, environment, dependencies, reproducibility
extra	expbench	C06	Conjunctive metrics (C·D, I·E) substantially reduce score variance compared to individual metrics	Individual metrics C and E exhibit high variance across agent-task pairs, while conjunctive forms C·D and I·E produce more stable, lower-variance evaluation signals that better discriminate agent capability.	supported	supported	If the standard deviation of C·D scores across tasks is not smaller than the standard deviation of C scores alone for at least 5 of 7 agent configurations, this claim would be refuted.	[E04]	C03		metric stability, variance, conjunctive scoring, evaluation reliability
extra	venn	C01	Venn reduces average JCT by up to 1.88× over random matching across diverse CL workloads	Across five workload types (Even, Small, Large, Low, High) in event-driven simulation with 50 jobs and Poisson arrival (30-min average inter-arrival), Venn achieves average JCT speedups of 1.87×, 1.78×, 1.72×, 1.88×, and 1.63× respectively over optimized random matching.	supported	supported	Venn's average JCT speedup over random matching falls below 1.63× on any of the five standard workloads under the same experimental setup.	[E01]	C02, C03		JCT, end-to-end, speedup, workloads, simulation
extra	venn	C02	Contention-aware IRS scheduling is the primary driver of JCT improvement under high contention	The IRS scheduling component alone (Venn w/o matching) achieves 1.79× average JCT improvement in the Low workload; without scheduling (Venn w/o sched / FIFO), improvement is only 1.62×. Under High workload, IRS yields 1.63× and matching adds no further gain.	supported	supported	Removing the IRS scheduling component does not reduce average JCT improvement by more than 5% relative to full Venn in any tested workload.	[E02]	C01		IRS, scheduling, ablation, scheduling-delay
extra	venn	C03	Tier-based device matching reduces JCT primarily under low resource contention	The matching component alone (Venn w/o sched) achieves 1.62× JCT improvement in the Low workload versus FIFO's 1.55×, but under High workload both Venn w/o sched and FIFO achieve 1.42× — matching provides no benefit when contention is high.	supported	supported	The matching component provides statistically significant JCT improvement over FIFO in the High contention workload.	[E02]	C01		device-matching, tier-based, response-collection-time, low-contention
extra	venn	C04	Venn achieves logarithmic-linear time complexity and introduces negligible scheduling overhead	Venn's scheduling algorithm has time complexity max(O(m log m), O(n²)) where m is the number of jobs and n is the number of job groups. Empirically, scheduling latency remains below ~1 ms for up to 1000 jobs and 100 job groups.	supported	supported	Scheduling latency exceeds 10 ms for 1000 jobs or 100 job groups in the overhead evaluation.	[E03]	none		complexity, overhead, scalability
extra	venn	C05	Venn does not adversely affect CL model accuracy while speeding up convergence	In real CL system experiments (ResNet-18 + MobileNet-V2 on FEMNIST, 20 jobs), Venn and its baselines (FIFO, SRSF) converge to the same final average test accuracy (~0.75), but Venn reaches this accuracy faster.	supported	supported	Venn's final model accuracy is more than 1 percentage point below that of random matching under the same number of rounds.	[E04]	C01		accuracy, convergence, model-quality, real-experiment
extra	venn	C06	Venn's fairness knob (ε) provides a controllable tradeoff between JCT and fairness	At ε=2, 69% of jobs receive their fair-share JCT (defined as Ti = M × sdi). As ε increases from 0, average JCT speedup decreases while the percentage of jobs meeting fair-share JCT increases monotonically.	supported	supported	At ε=2, fewer than 50% of jobs meet their fair-share JCT, or increasing ε beyond 2 decreases the percentage of jobs meeting fair-share JCT.	[E05]	C01		fairness, starvation-prevention, epsilon, tradeoff
paperbench	adaptive-pruning	C01	APT Maintains ~98% Task Performance Under 60% Sparsity on RoBERTa and T5	APT maintains up to 98% of the fully fine-tuned model's task performance when pruning 60% of parameters in RoBERTa-base and T5-base models across GLUE (MNLI, SST2) and CNN/DM tasks.	supported	supported	APT achieves less than 96% relative performance (compared to FT) at 60% sparsity on MNLI, SST2, or CNN/DM for RoBERTa or T5.	[E01]	none		task performance, sparsity, RoBERTa, T5, GLUE
paperbench	adaptive-pruning	C02	APT Trains 8× Faster Than LoRA+Prune Baseline	APT converges 8.4× faster than LoRA+Prune for RoBERTa and 8.2× faster for T5 at 60% sparsity, measured by 97% Time-to-Accuracy (TTA) on SST2.	supported	supported	The ratio of LoRA+Prune TTA to APT TTA is less than 6× for either RoBERTa or T5 at 60% sparsity.	[E01]	none		training efficiency, time-to-accuracy, RoBERTa, T5
paperbench	adaptive-pruning	C03	APT Achieves On-Par Distillation Performance With 41.6% Training Memory	APT reaches comparable task accuracy to the Prune+Distill (CoFi) baseline (within 0.9 points on MNLI, same on SST2) while using only 41.6% training memory and converging 2.5× faster.	supported	supported	APT's training memory exceeds 60% of Prune+Distill's, or APT's task accuracy is more than 2 points below Prune+Distill on MNLI or SST2.	[E01, E04]	C01		self-distillation, training memory, RoBERTa
paperbench	adaptive-pruning	C04	Outlier-Aware Salience (Kurtosis) Is Critical for Large LM Pruning	Removing the kurtosis component from the outlier-aware salience score causes LLaMA2-7B average performance to drop from 50.0 to 38.1 (a 23.8% reduction) at 30% sparsity.	supported	supported	Removing kurtosis from salience causes less than 5% relative performance drop on LLaMA2-7B at 30% sparsity.	[E03]	none		salience scoring, kurtosis, outlier parameters, LLaMA
paperbench	adaptive-pruning	C05	Adaptive Tuning (Dynamic Rank Growth) Substantially Improves Training Speed and Task Performance	Ablating adaptive tuning (static ranks instead of dynamic rank growth in salient layers) degrades RoBERTa SST2 performance from 94.5 to 93.2 and MNLI from 86.4 to 84.5, and slows convergence by 16% relative to full APT.	supported	supported	Ablating adaptive tuning changes RoBERTa task performance by less than 0.5 points or does not slow convergence.	[E03]	none		adaptive tuning, rank growth, ablation, RoBERTa
paperbench	adaptive-pruning	C06	APT Preserves 86.4% LLaMA Performance With 70% Parameters Remaining	APT maintains 86.4% of LoRA-tuned LLaMA2-7B average performance (50.0 vs 57.9 on ARC/HellaSwag/MMLU/TruthfulQA average) at 30% sparsity with 75.8% training memory relative to LoRA.	supported	supported	APT achieves less than 80% relative performance of LoRA-tuned LLaMA2-7B at 30% sparsity, or training memory exceeds 90% of LoRA.	[E02]	C04		LLaMA, large LM, inference efficiency, memory
paperbench	adaptive-pruning	C07	APT Outperforms LLMPruner With 30% of Its Training Memory	For LLaMA2-7B at 30% sparsity, APT outperforms LLMPruner (50.0 vs 42.9 average performance) while using only ~30% of LLMPruner's training memory (APT: <24 GB; LLMPruner: ~80 GB).	supported	supported	APT uses more than 40% of LLMPruner's training memory, or APT's average performance is within 2 points of LLMPruner's.	[E02]	C06		LLaMA, LLMPruner, memory efficiency, task-specific pruning
paperbench	adaptive-pruning	C08	APT Achieves Superior Inference Efficiency vs LoRA+Prune at Same Task Accuracy	At the same target task performance on RoBERTa, APT achieves 21.8% faster inference and 7% more memory reduction than LoRA+Prune; for T5 at 97% dense model performance, APT achieves 62.7% more inference speedup and 24.8% more memory reduction.	supported	supported	APT's inference speedup at comparable task accuracy is not statistically significantly better than LoRA+Prune on both RoBERTa and T5.	[E05]	C01, C02		inference efficiency, Pareto frontier, sparsity analysis
paperbench	all-in-one	C01	Simformer outperforms NPE on benchmark posterior approximation tasks	The Simformer with a dense attention mask achieves lower C2ST error (closer to 0.5) than NPE on three out of four SBIBM benchmark tasks (Gaussian Mixture, Two Moons, SLCP) across all simulation budgets tested (10³, 10⁴, 10⁵). It achieves similar performance on Gaussian Linear except at 10k simulations.	supported	supported	If NPE achieves equal or lower C2ST error than the dense Simformer on a majority of benchmark tasks at the same simulation budget.	[E01]	none		benchmark, C2ST, NPE, posterior, simulation-efficiency
paperbench	all-in-one	C02	Structured attention masks improve simulation efficiency up to 10×	Equipping Simformer with an attention mask matching the simulator's dependency structure (undirected or directed graph) reduces the simulation budget needed to reach a given C2ST level by approximately an order of magnitude on average across tasks with notable independence structure (Linear Gaussian, SLCP).	supported	supported	If structured-mask Simformer variants require comparable or more simulations than the dense Simformer to achieve similar C2ST performance.	[E01]	C01		attention mask, simulation efficiency, dependency structure, graphical model
paperbench	all-in-one	C03	Simformer accurately estimates all arbitrary conditionals of the joint distribution	A single trained Simformer network can produce well-calibrated samples from any conditional of p(θ, x), including posteriors, likelihoods, and arbitrary parameter/data conditionals, as verified by C2ST against MCMC ground truth on 100 randomly sampled conditionals across Tree, HMM, Two Moons, and SLCP tasks.	supported	supported	If C2ST for arbitrary conditionals exceeds 0.7 for all Simformer variants on any task at 10⁵ simulations; or if training only on the posterior mask substantially improves performance.	[E02]	C01		arbitrary conditionals, joint distribution, all-in-one, C2ST, MCMC
paperbench	all-in-one	C04	Simformer handles unstructured/missing data and function-valued parameters	The Simformer can perform inference for Lotka-Volterra with irregularly placed observations of varying numbers across species (unstructured data) and for SIRD with an infinite-dimensional time-varying contact rate parameter, producing well-calibrated posteriors and posterior predictives in both cases.	supported	supported	If posterior predictives fail to capture the observed data within 99% quantiles, or if the ground truth parameter lies outside high-probability posterior regions.	[E03, E04]	C03		unstructured data, missing data, function-valued parameters, Lotka-Volterra, SIRD
paperbench	all-in-one	C05	Guided diffusion enables conditioning on intervals without retraining	The Simformer can condition on observation intervals (e.g., energy below the lowest 10% quantile) using a general guidance formulation with constraint function c(x̂) = x̂ − u and scaling s(t) = 1/σ(t)², producing samples that satisfy the constraint while remaining consistent with the data likelihood.	supported	supported	If samples from guided diffusion violate the specified energy constraint at test time, or if the posterior predictive voltage trace diverges from observations.	[E05]	C03		guided diffusion, interval conditioning, Hodgkin-Huxley, energy constraint, Algorithm 1
paperbench	all-in-one	C06	The 'all-in-one' training objective does not hurt posterior-only performance	Training the Simformer on all conditional distributions (joint, posterior, likelihood, random masks) achieves similar or better C2ST for the posterior compared to training exclusively on the posterior mask (Simformer posterior-only ≈ NPSE baseline).	supported	supported	If the posterior-only Simformer variant significantly outperforms the all-conditionals Simformer in C2ST on any benchmark task.	[E01, E02]	C01, C03		training objective, posterior-only, all-conditionals, free lunch
paperbench	bam	C01	Score-based divergence properties	The score-based divergence D(q;p) = E_q[||∇log(q/p)||²_{Cov(q)}] satisfies (i) non-negativity with equality iff p=q, (ii) affine invariance under coordinate transformations, and (iii) evaluability for unnormalized target densities (depends only on ∇log p, not the partition function).	supported	supported	Construct a pair (p,q) with p≠q where D(q;p)=0; or find an affine transformation h where D(q;p)≠D(h#q;h#p); or show the divergence requires normalization of p.	[E01, E02]	none		score-based divergence, affine invariance, non-negativity, black-box VI
paperbench	bam	C02	Closed-form BaM updates	The BaM objective L_BaM(q) = D̂_{q_t}(q;p) + (2/λ_t) KL(q_t; q) has a unique global minimum in the Gaussian family Q that can be computed in closed form: Σ_{t+1} = 2V[I + (I + 4UV)^{1/2}]^{-1} and μ_{t+1} = (λ_t/(1+λ_t)) μ_t + (1/(1+λ_t))(Σ_{t+1}ḡ + z̄), where U and V are PSD matrices derived from batch statistics.	supported	supported	Find an input (U≥0, V>0) for which the stated formula does not satisfy the quadratic equation ΣUΣ + Σ = V; or show the solution is not positive definite.	[E01, E02, E03, E04]	C01		closed-form update, quadratic matrix equation, proximal point, Gaussian variational family
paperbench	bam	C03	BaM recovers GSM as a special case	In the limit B=1 and λ_t → ∞, the BaM updates reduce exactly to the Gaussian Score Matching (GSM) updates of Modi et al. (2023): Σ_{t+1}g_t g_t^T Σ_{t+1} + Σ_{t+1} = Σ_t + (μ_t - z_t)(μ_t - z_t)^T and μ_{t+1} = Σ_{t+1}g_t + z_t.	supported	supported	Show that the B=1, λ→∞ limit of BaM updates differs from Equations (42) and (23) of Modi et al. (2023).	[E01]	C02		GSM, special case, limiting behavior, B=1
paperbench	bam	C04	Exponential convergence for Gaussian targets	For Gaussian target p = N(μ*, Σ*) in the infinite-batch limit (B→∞) with fixed λ>0, the normalized errors ε_t = Σ*^{-1/2}(μ_t - μ*) and Δ_t = Σ*^{-1/2}Σ_t Σ*^{-1/2} - I satisfy: ||ε_t|| ≤ (1-δ)^t ||ε_0|| and ||Δ_t|| ≤ (1-δ)^t ||Δ_0|| + t(1-δ)^{t-1}||ε_0||², where β = min(α, (1+λ)/(1+λ+||ε_0||²)), δ = λβ/(1+λ), and α is the minimum eigenvalue of Σ*^{-1/2}Σ_0 Σ*^{-1/2}.	supported	supported	Construct a Gaussian target and initial conditions where the stated error bounds are violated in the infinite-batch limit.	[E01]	C02		convergence, exponential decay, Gaussian target, proximal stability, learning rate robustness
paperbench	bam	C05	BaM outperforms ADVI on convergence speed	BaM with appropriately chosen batch size converges to lower KL divergence (or lower relative mean error) in fewer gradient evaluations than ADVI on Gaussian targets, non-Gaussian sinh-arcsinh targets, hierarchical Bayesian models from PosteriorDB, and deep generative models (CIFAR-10 with D=256).	supported	supported	Find a benchmark where ADVI achieves equal or lower KL/MSE at the same or fewer gradient evaluations than BaM.	[E01, E02, E03, E04]	C02, C04		empirical comparison, ADVI, convergence speed, gradient evaluations
paperbench	bam	C06	BaM benefits from larger batch sizes; ADVI and GSM do not	For BaM, increasing the batch size B improves convergence speed and stability (e.g., larger B=15,40,150 for D=16,64,256 converge faster than B=2). For ADVI and GSM, increasing batch size yields marginal or no improvement.	supported	supported	Show that ADVI or GSM achieves substantially faster convergence with larger batch sizes, or that BaM does not benefit from batch size increases.	[E01, E02, E03, E04]	C05		batch size, parallelization, scalability, deep generative
paperbench	bbox	C01	BBOX-ADAPTER significantly improves black-box LLM task performance	BBOX-ADAPTER consistently improves gpt-3.5-turbo performance across diverse QA tasks by an average of 6.39% and up to 6.77% (Combined setting, GSM8K), while requiring no access to model parameters or output token probabilities.	supported	supported	BBOX-ADAPTER (any setting) fails to improve over the CoT baseline on all four datasets (StrategyQA, GSM8K, TruthfulQA, ScienceQA).	[E01]	none		performance, black-box, QA, GPT-3.5
paperbench	bbox	C02	BBOX-ADAPTER reduces training cost by 31.30x over SFT	The full-step variant of BBOX-ADAPTER requires $3.48 (StrategyQA) and $11.58 (GSM8K) training cost versus $153.00 and $216.50 for Azure-SFT, yielding approximately 31.30× reduction in training cost per thousand questions.	supported	supported	BBOX-ADAPTER full-step training cost exceeds or equals Azure-SFT training cost on StrategyQA or GSM8K.	[E03]	C01		cost, training, efficiency, SFT
paperbench	bbox	C03	BBOX-ADAPTER reduces inference cost by 1.84x over SFT (full-step)	The full-step BBOX-ADAPTER inference costs $5.37/1k Q (StrategyQA) and $12.46/1k Q (GSM8K) versus $7.50/1k Q and $28.30/1k Q for Azure-SFT, yielding approximately 1.84× reduction; the single-step variant achieves approximately 6.27× reduction.	supported	supported	BBOX-ADAPTER full-step inference cost equals or exceeds Azure-SFT inference cost.	[E03]	C01		cost, inference, efficiency, beam search
paperbench	bbox	C04	Ranking-based NCE loss outperforms MLM loss by up to ~10%	On StrategyQA with 0.1B adapter, NCE achieves 71.62% accuracy vs MLM's 61.52% (+10.10%); on GSM8K with 0.3B adapter, NCE achieves 73.86% vs MLM's 70.81% (+3.05%).	supported	supported	MLM loss achieves accuracy equal to or greater than NCE loss on both StrategyQA and GSM8K under any adapter size.	[E05]	none		ablation, NCE, MLM, loss function
paperbench	bbox	C05	BBOX-ADAPTER supports plug-and-play transfer to other black-box LLMs	An adapter trained on gpt-3.5-turbo can be directly applied without retraining to davinci-002 (+6.85% average) and Mixtral-8×7B (+4.50% average) across three datasets.	supported	supported	Applying the gpt-3.5-turbo adapter to davinci-002 or Mixtral-8×7B does not improve performance over the unadapted baseline on any dataset.	[E02]	C01		plug-and-play, transfer, davinci, Mixtral
paperbench	bbox	C06	AI feedback is competitive with ground-truth labels	BBOX-ADAPTER (AI Feedback, using GPT-4 to select positive samples) achieves competitive performance with BBOX-ADAPTER (Ground-Truth) across all four tasks, with differences of ≤1.77% accuracy on any single dataset.	supported	supported	AI Feedback performance falls more than 5% below Ground-Truth performance on any dataset in Table 2.	[E01]	C01		AI feedback, ground-truth, online adaptation, GPT-4
paperbench	bbox	C07	Increasing beam size improves performance by ~2.41% on average	Increasing beam size from k=1 to k=5 on StrategyQA with gpt-3.5-turbo contributes to an average performance enhancement of 2.41% across 0.1B and 0.3B adapter sizes.	supported	supported	Performance does not increase monotonically from k=1 to k=5 for both adapter sizes on StrategyQA.	[E06]	C01		beam search, scale, beam size, StrategyQA
paperbench	bbox	C08	Online adaptation iterations improve performance monotonically (T=1..3)	An unfinetuned adapter (T=0) performs below the base model; after T=1 adaptation iteration the model surpasses the base; performance improves consistently through T=3 on StrategyQA.	supported	supported	At T=1, BBOX-ADAPTER performance is below or equal to the base model; or performance does not improve from T=1 to T=3.	[E07]	C01		online adaptation, iterations, self-improvement, convergence
paperbench	bridging-data-gaps	C01	TAN achieves superior or competitive image generation diversity (Intra-LPIPS) compared to all baselines	DDPM-TAN and LDM-TAN achieve higher Intra-LPIPS scores than all GAN-based and DDPM-based baselines on the majority of 10-shot adaptation tasks from FFHQ and LSUN Church source domains.	supported	supported	Any of TGAN, TGAN+ADA, EWC, CDC, DCL, or DDPM-PA achieve equal or higher Intra-LPIPS than both DDPM-TAN and LDM-TAN on the majority of the 5 tested adaptation tasks.	[E01, E02]	none		diversity, Intra-LPIPS, few-shot, image generation, transfer learning
paperbench	bridging-data-gaps	C02	TAN achieves significantly better image quality (FID) than all baselines on FFHQ→Sunglasses and FFHQ→Babies	DDPM-TAN/LDM-TAN achieve lower FID scores than TGAN, TGAN+ADA, EWC, CDC, DCL, and DDPM-PA on FFHQ→10-shot Sunglasses and FFHQ→10-shot Babies.	supported	supported	Any baseline achieves FID ≤ TAN on either Sunglasses or Babies.	[E01]	none		FID, image quality, few-shot, FFHQ, Sunglasses, Babies
paperbench	bridging-data-gaps	C03	TAN is parameter-efficient and computationally efficient compared to full fine-tuning and prior methods	DDPM-TAN fine-tunes only 1.3% of parameters and converges in ~300 iterations (3 GPU hours, 9 GB memory), versus ~5000 iterations (7.5 GPU hours, 20 GB memory) for full fine-tuning baselines with 100% parameter rate.	supported	supported	TAN requires comparable GPU memory (≥15 GB) or comparable wall-clock time (≥6 GPU hours) to achieve equivalent or better quality as full fine-tuning baseline.	[E03]	none		efficiency, parameter rate, GPU memory, iterations, adaptor
paperbench	bridging-data-gaps	C04	Adversarial noise selection corrects the noisy gradient direction in few-shot settings, improving transfer speed and coverage	On 2D toy data, the gradient direction of DDPM-TAN (with adversarial noise selection) is closer to the reference gradient (computed with 10,000 samples) than the baseline DDPM or similarity-guided training alone; and DDPM-TAN generates samples with higher concentration near the target distribution mode.	supported	supported	The angular deviation of DDPM-TAN gradient from the reference is not smaller than that of vanilla DDPM or similarity-guided-only variant in the toy experiment.	[E04]	none		adversarial noise, gradient direction, toy experiment, convergence, worst-case noise
paperbench	bridging-data-gaps	C05	Each component of TAN (similarity guidance, adversarial noise) contributes incrementally to final FID improvement	On FFHQ→10-shot Sunglasses at 300 iterations: Baseline FID 38.65 → Adaptor only FID 41.88 → DPMs-TAN w/o adversarial noise FID 26.41 → DPMs-TAN full FID 20.06, showing that similarity-guided training and adversarial noise selection each provide independent improvement.	supported	supported	DPMs-TAN w/o adversarial noise does not improve over the adaptor-only baseline, or DPMs-TAN full does not improve over DPMs-TAN w/o adversarial noise.	[E05]	C02		ablation, similarity-guided training, adversarial noise, FID, component analysis
paperbench	fre	C01	FRE achieves competitive zero-shot performance across diverse reward families using only 32 samples	An FRE agent pre-trained on a mixture of random unsupervised reward functions can solve novel downstream tasks in zero-shot by encoding 32 (state, reward) samples, achieving performance competitive with or better than methods using 5120 samples (FB, SF) and methods specialized for specific task types (GC-IQL, GC-BC, OPAL).	supported	supported	FRE performs statistically significantly worse than all baselines on a majority of evaluation tasks, or requires more than 32 samples to match baseline performance.	[E01, E02]	C02, C03		zero-shot, evaluation, generalization, sample-efficiency
paperbench	fre	C02	FRE outperforms SF/FB baselines on goal-reaching tasks despite using 160× fewer evaluation samples	On goal-reaching evaluations (ant-goal-reaching, exorl-walker-goals, exorl-cheetah-goals, kitchen), FRE with K=32 encoding samples significantly outperforms SF and FB methods that use K=5120 samples, demonstrating that functional encoding is more sample-efficient than linear regression adaptation.	supported	supported	SF or FB achieve equal or higher scores on goal-reaching tasks when given 32 samples (matching FRE's budget).	[E01]	C01		goal-reaching, sample-efficiency, comparison, successor-features
paperbench	fre	C03	FRE generalizes to non-goal-reaching structured rewards while maintaining goal-reaching competitiveness	The same FRE agent trained with the FRE-all mixture prior achieves competitive goal-reaching performance AND solves directional, simplex, and path tasks, whereas GC-IQL and GC-BC score near zero on non-goal-reaching tasks.	supported	supported	FRE performance on goal-reaching tasks is significantly lower than GC-IQL/GC-BC, OR FRE fails to improve on directional/simplex tasks relative to GC-IQL/GC-BC.	[E01]	C01		generalization, multi-task, goal-reaching, directional
paperbench	fre	C04	Performance scales smoothly with reward diversity; FRE-all dominates all reward-subset ablations	An FRE agent trained on all three reward families (FRE-all) achieves the highest total score and competitive per-task scores compared to agents trained on any strict subset of reward families, demonstrating that disparate reward families can be jointly encoded without interference.	supported	supported	Any single-family agent (FRE-goals, FRE-lin, or FRE-mlp) outperforms FRE-all in total score, suggesting negative transfer from reward diversity.	[E03]	C01		ablation, reward-diversity, scaling, generalization
paperbench	fre	C05	Domain-specific reward priors (FRE-hint) further improve performance on targeted task distributions	Augmenting the random reward prior with task-specific distributions (e.g., directional movement rewards for AntMaze, velocity rewards for ExORL) improves FRE performance on corresponding downstream tasks without requiring algorithmic changes.	supported	supported	FRE-hint does not improve over FRE-all on the targeted task types for which the domain knowledge was incorporated.	[E04]	C01, C04		domain-knowledge, reward-prior, FRE-hint, multi-task
paperbench	ftrl	C01	Vanilla RL fine-tuning fails to leverage pre-trained capabilities due to FPC	Fine-tuning a pre-trained RL agent on a downstream task using standard RL (without knowledge retention) will, in most practical scenarios, result in performance comparable to or worse than training from scratch at the end of training, due to catastrophic forgetting of pre-trained capabilities on FAR states.	supported	supported	A majority of RL fine-tuning benchmarks show vanilla fine-tuning consistently outperforming training from scratch without any knowledge retention mechanism.	[E01, E02, E03]	none		forgetting, fine-tuning, RL, catastrophic forgetting
paperbench	ftrl	C02	State coverage gap is a common and catastrophic instance of FPC	When a pre-trained agent is competent on FAR states but not on CLOSE states, fine-tuning will cause catastrophic forgetting of FAR-state behavior before the agent learns CLOSE. In RoboticSequence, the success rate on FAR stages collapses to 0% within 100K steps.	supported	supported	Pre-trained agents fine-tuned on tasks where they are initially incompetent on CLOSE states maintain their FAR-state performance during the early fine-tuning phase.	[E03, E04]	C01		state coverage gap, RoboticSequence, Montezuma's Revenge, forgetting
