# file	base	family	operator	expected	hs-diagnostic	lean-diagnostic	expected-location
malformed/E1--codec-theory-mismatch-0.sexp	E1	codec-corruption	codec-theory-mismatch	codec-reject	theory identity does not match replay identity	replay theories differ from unit theories	-
malformed/E1--codec-truncate-0.sexp	E1	codec-corruption	codec-truncate	codec-reject	unclosed list	unclosed list	-
E2--hidden-contrary-0.sexp	E2	hidden-policy-extension	hidden-contrary	reject-R12			policy
E2--group-conflict-0.sexp	E2	data-integrity	group-conflict	reject-R9			group:mut_g
E2--undeclared-pred-0.sexp	E2	signature	undeclared-pred	reject-R2			policy
E2--wrong-pred-arity-0.sexp	E2	signature	wrong-pred-arity	reject-R2			policy
E2--wrong-arg-sort-0.sexp	E2	signature	wrong-arg-sort	reject-R2			policy
E2--wrong-arg-sort-1.sexp	E2	signature	wrong-arg-sort	reject-R2			policy
E2--undeclared-con-0.sexp	E2	signature	undeclared-con	reject-R2			policy
E2--out-of-scope-var-0.sexp	E2	hidden-policy-extension	out-of-scope-var	reject-R12			policy
E2--duplicate-backend-0.sexp	E2	certificate-tampering	duplicate-backend	reject-R13			replay
E2--unknown-backend-0.sexp	E2	certificate-tampering	unknown-backend	reject-R13			replay
malformed/E2--codec-junk-section-0.sexp	E2	codec-corruption	codec-junk-section	codec-reject	wrong number of fields for check-input	check-input: malformed check input	-
malformed/E2--codec-core-version-0.sexp	E2	codec-corruption	codec-core-version	codec-reject	unsupported core version	unsupported core version	-
malformed/E2--codec-replay-order-0.sexp	E2	codec-corruption	codec-replay-order	codec-reject	replay-id core: expected (core	replay-id: wrong field order	-
malformed/E2--codec-theory-mismatch-0.sexp	E2	codec-corruption	codec-theory-mismatch	codec-reject	theory identity does not match replay identity	replay theories differ from unit theories	-
malformed/E2--codec-truncate-0.sexp	E2	codec-corruption	codec-truncate	codec-reject	unclosed list	unclosed list	-
E3--undeclared-leaf-0.sexp	E3	undeclared-leaves	undeclared-leaf	reject-R1			arg:1
E3--undeclared-leaf-1.sexp	E3	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
E3--hidden-rule-0.sexp	E3	hidden-policy-extension	hidden-rule	reject-R1			arg:5
E3--hidden-contrary-0.sexp	E3	hidden-policy-extension	hidden-contrary	reject-R12			policy
E3--wrong-subst-domain-0.sexp	E3	wrong-formulas	wrong-subst-domain	reject-R3			arg:4
E3--wrong-premise-0.sexp	E3	wrong-formulas	wrong-premise	reject-R4			arg:5
E3--open-obligation-0.sexp	E3	open-obligations	open-obligation	reject-R5			arg:5
E3--hole-obligation-0.sexp	E3	open-obligations	hole-obligation	reject-IncompleteArgument			arg:0
E3--wrong-discharge-0.sexp	E3	open-obligations	wrong-discharge	reject-R6			arg:0
E3--trusted-assurance-0.sexp	E3	certificate-tampering	trusted-assurance	reject-R7			arg:1
E3--bad-attack-position-0.sexp	E3	bad-attack-targets	bad-attack-position	reject-R10			attack:1
E3--bad-attack-position-1.sexp	E3	bad-attack-targets	bad-attack-position	reject-R10			attack:2
E3--unlicensed-attack-0.sexp	E3	bad-attack-targets	unlicensed-attack	reject-R11			attack:4
E3--drop-covering-attack-0.sexp	E3	bad-attack-targets	drop-covering-attack	reject-MissingConflict			conflict:4-5
E3--group-conflict-0.sexp	E3	data-integrity	group-conflict	reject-R9			group:mut_g
E3--undeclared-pred-0.sexp	E3	signature	undeclared-pred	reject-R2			policy
E3--wrong-pred-arity-0.sexp	E3	signature	wrong-pred-arity	reject-R2			policy
E3--wrong-arg-sort-0.sexp	E3	signature	wrong-arg-sort	reject-R2			policy
E3--wrong-arg-sort-1.sexp	E3	signature	wrong-arg-sort	reject-R2			policy
E3--undeclared-con-0.sexp	E3	signature	undeclared-con	reject-R2			policy
E3--wrong-theta-sort-0.sexp	E3	signature	wrong-theta-sort	reject-R2			policy
E3--out-of-scope-var-0.sexp	E3	hidden-policy-extension	out-of-scope-var	reject-R12			policy
E3--duplicate-backend-0.sexp	E3	certificate-tampering	duplicate-backend	reject-R13			replay
E3--unknown-backend-0.sexp	E3	certificate-tampering	unknown-backend	reject-R13			replay
malformed/E3--codec-junk-section-0.sexp	E3	codec-corruption	codec-junk-section	codec-reject	wrong number of fields for check-input	check-input: malformed check input	-
malformed/E3--codec-core-version-0.sexp	E3	codec-corruption	codec-core-version	codec-reject	unsupported core version	unsupported core version	-
malformed/E3--codec-replay-order-0.sexp	E3	codec-corruption	codec-replay-order	codec-reject	replay-id core: expected (core	replay-id: wrong field order	-
malformed/E3--codec-theory-mismatch-0.sexp	E3	codec-corruption	codec-theory-mismatch	codec-reject	theory identity does not match replay identity	replay theories differ from unit theories	-
malformed/E3--codec-dangling-attack-0.sexp	E3	codec-corruption	codec-dangling-attack	codec-reject	attack endpoint is not a declared argument	attack endpoint is not a declared argument	-
malformed/E3--codec-truncate-0.sexp	E3	codec-corruption	codec-truncate	codec-reject	unclosed list	unclosed list	-
E4--undeclared-leaf-0.sexp	E4	undeclared-leaves	undeclared-leaf	reject-R1			arg:4
E4--undeclared-leaf-1.sexp	E4	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
E4--hidden-rule-0.sexp	E4	hidden-policy-extension	hidden-rule	reject-R1			arg:8
E4--hidden-contrary-0.sexp	E4	hidden-policy-extension	hidden-contrary	reject-R12			policy
E4--wrong-subst-domain-0.sexp	E4	wrong-formulas	wrong-subst-domain	reject-R3			arg:3
E4--wrong-premise-0.sexp	E4	wrong-formulas	wrong-premise	reject-R4			arg:3
E4--open-obligation-0.sexp	E4	open-obligations	open-obligation	reject-R5			arg:0
E4--hole-obligation-0.sexp	E4	open-obligations	hole-obligation	reject-IncompleteArgument			arg:7
E4--wrong-discharge-0.sexp	E4	open-obligations	wrong-discharge	reject-R6			arg:6
E4--trusted-assurance-0.sexp	E4	certificate-tampering	trusted-assurance	reject-R7			arg:0
E4--bad-attack-position-0.sexp	E4	bad-attack-targets	bad-attack-position	reject-R10			attack:0
E4--bad-attack-position-1.sexp	E4	bad-attack-targets	bad-attack-position	reject-R10			attack:4
E4--unlicensed-attack-0.sexp	E4	bad-attack-targets	unlicensed-attack	reject-R11			attack:7
E4--drop-covering-attack-0.sexp	E4	bad-attack-targets	drop-covering-attack	reject-MissingConflict			conflict:5-4
E4--group-conflict-0.sexp	E4	data-integrity	group-conflict	reject-R9			group:mut_g
E4--undeclared-pred-0.sexp	E4	signature	undeclared-pred	reject-R2			policy
E4--wrong-pred-arity-0.sexp	E4	signature	wrong-pred-arity	reject-R2			policy
E4--wrong-arg-sort-0.sexp	E4	signature	wrong-arg-sort	reject-R2			policy
E4--wrong-arg-sort-1.sexp	E4	signature	wrong-arg-sort	reject-R2			policy
E4--undeclared-con-0.sexp	E4	signature	undeclared-con	reject-R2			policy
E4--wrong-theta-sort-0.sexp	E4	signature	wrong-theta-sort	reject-R2			policy
E4--out-of-scope-var-0.sexp	E4	hidden-policy-extension	out-of-scope-var	reject-R12			policy
E4--duplicate-backend-0.sexp	E4	certificate-tampering	duplicate-backend	reject-R13			replay
E4--unknown-backend-0.sexp	E4	certificate-tampering	unknown-backend	reject-R13			replay
malformed/E4--codec-junk-section-0.sexp	E4	codec-corruption	codec-junk-section	codec-reject	wrong number of fields for check-input	check-input: malformed check input	-
malformed/E4--codec-core-version-0.sexp	E4	codec-corruption	codec-core-version	codec-reject	unsupported core version	unsupported core version	-
malformed/E4--codec-replay-order-0.sexp	E4	codec-corruption	codec-replay-order	codec-reject	replay-id core: expected (core	replay-id: wrong field order	-
malformed/E4--codec-theory-mismatch-0.sexp	E4	codec-corruption	codec-theory-mismatch	codec-reject	theory identity does not match replay identity	replay theories differ from unit theories	-
malformed/E4--codec-dangling-attack-0.sexp	E4	codec-corruption	codec-dangling-attack	codec-reject	attack endpoint is not a declared argument	attack endpoint is not a declared argument	-
malformed/E4--codec-truncate-0.sexp	E4	codec-corruption	codec-truncate	codec-reject	unclosed list	unclosed list	-
E5--undeclared-leaf-0.sexp	E5	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
E5--undeclared-leaf-1.sexp	E5	undeclared-leaves	undeclared-leaf	reject-R1			arg:3
E5--hidden-rule-0.sexp	E5	hidden-policy-extension	hidden-rule	reject-R1			arg:5
E5--hidden-contrary-0.sexp	E5	hidden-policy-extension	hidden-contrary	reject-R12			policy
E5--wrong-subst-domain-0.sexp	E5	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
E5--wrong-premise-0.sexp	E5	wrong-formulas	wrong-premise	reject-R4			arg:4
E5--open-obligation-0.sexp	E5	open-obligations	open-obligation	reject-R5			arg:3
E5--hole-obligation-0.sexp	E5	open-obligations	hole-obligation	reject-IncompleteArgument			arg:0
E5--wrong-discharge-0.sexp	E5	open-obligations	wrong-discharge	reject-R6			arg:0
E5--trusted-assurance-0.sexp	E5	certificate-tampering	trusted-assurance	reject-R7			arg:4
E5--bad-attack-position-0.sexp	E5	bad-attack-targets	bad-attack-position	reject-R10			attack:1
E5--bad-attack-position-1.sexp	E5	bad-attack-targets	bad-attack-position	reject-R10			attack:3
E5--unlicensed-attack-0.sexp	E5	bad-attack-targets	unlicensed-attack	reject-R11			attack:6
E5--drop-covering-attack-0.sexp	E5	bad-attack-targets	drop-covering-attack	reject-MissingConflict			conflict:2-1
E5--group-conflict-0.sexp	E5	data-integrity	group-conflict	reject-R9			group:mut_g
E5--undeclared-pred-0.sexp	E5	signature	undeclared-pred	reject-R2			policy
E5--wrong-pred-arity-0.sexp	E5	signature	wrong-pred-arity	reject-R2			policy
E5--wrong-arg-sort-0.sexp	E5	signature	wrong-arg-sort	reject-R2			policy
E5--wrong-arg-sort-1.sexp	E5	signature	wrong-arg-sort	reject-R2			policy
E5--undeclared-con-0.sexp	E5	signature	undeclared-con	reject-R2			policy
E5--wrong-theta-sort-0.sexp	E5	signature	wrong-theta-sort	reject-R2			policy
E5--out-of-scope-var-0.sexp	E5	hidden-policy-extension	out-of-scope-var	reject-R12			policy
E5--duplicate-backend-0.sexp	E5	certificate-tampering	duplicate-backend	reject-R13			replay
E5--unknown-backend-0.sexp	E5	certificate-tampering	unknown-backend	reject-R13			replay
malformed/E5--codec-junk-section-0.sexp	E5	codec-corruption	codec-junk-section	codec-reject	wrong number of fields for check-input	check-input: malformed check input	-
malformed/E5--codec-core-version-0.sexp	E5	codec-corruption	codec-core-version	codec-reject	unsupported core version	unsupported core version	-
malformed/E5--codec-replay-order-0.sexp	E5	codec-corruption	codec-replay-order	codec-reject	replay-id core: expected (core	replay-id: wrong field order	-
malformed/E5--codec-theory-mismatch-0.sexp	E5	codec-corruption	codec-theory-mismatch	codec-reject	theory identity does not match replay identity	replay theories differ from unit theories	-
malformed/E5--codec-dangling-attack-0.sexp	E5	codec-corruption	codec-dangling-attack	codec-reject	attack endpoint is not a declared argument	attack endpoint is not a declared argument	-
malformed/E5--codec-truncate-0.sexp	E5	codec-corruption	codec-truncate	codec-reject	unclosed list	unclosed list	-
S1--undeclared-leaf-0.sexp	S1	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
S1--hidden-rule-0.sexp	S1	hidden-policy-extension	hidden-rule	reject-R1			arg:0
S1--hidden-contrary-0.sexp	S1	hidden-policy-extension	hidden-contrary	reject-R12			policy
S1--wrong-subst-domain-0.sexp	S1	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
S1--cert-theory-swap-0.sexp	S1	certificate-tampering	cert-theory-swap	reject-R7			arg:0
S1--cert-payload-tamper-0.sexp	S1	certificate-tampering	cert-payload-tamper	reject-R13			arg:0
S1--unlicensed-attack-0.sexp	S1	bad-attack-targets	unlicensed-attack	reject-R11			attack:0
S1--undeclared-pred-0.sexp	S1	signature	undeclared-pred	reject-R2			policy
S1--wrong-pred-arity-0.sexp	S1	signature	wrong-pred-arity	reject-R2			policy
S1--wrong-arg-sort-0.sexp	S1	signature	wrong-arg-sort	reject-R2			policy
S1--wrong-arg-sort-1.sexp	S1	signature	wrong-arg-sort	reject-R2			policy
S1--undeclared-con-0.sexp	S1	signature	undeclared-con	reject-R2			policy
S1--wrong-theta-sort-0.sexp	S1	signature	wrong-theta-sort	reject-R2			policy
S1--out-of-scope-var-0.sexp	S1	hidden-policy-extension	out-of-scope-var	reject-R12			policy
S1--duplicate-backend-0.sexp	S1	certificate-tampering	duplicate-backend	reject-R13			replay
S1--unknown-backend-0.sexp	S1	certificate-tampering	unknown-backend	reject-R13			replay
malformed/S1--codec-junk-section-0.sexp	S1	codec-corruption	codec-junk-section	codec-reject	wrong number of fields for check-input	check-input: malformed check input	-
malformed/S1--codec-core-version-0.sexp	S1	codec-corruption	codec-core-version	codec-reject	unsupported core version	unsupported core version	-
malformed/S1--codec-replay-order-0.sexp	S1	codec-corruption	codec-replay-order	codec-reject	replay-id core: expected (core	replay-id: wrong field order	-
malformed/S1--codec-theory-mismatch-0.sexp	S1	codec-corruption	codec-theory-mismatch	codec-reject	theory identity does not match replay identity	replay theories differ from unit theories	-
malformed/S1--codec-truncate-0.sexp	S1	codec-corruption	codec-truncate	codec-reject	unclosed list	unclosed list	-
cycle-rebut-6.sexp	-	cycles	rebut-cycle	accept-all-contested			-
cycle-rebut-2.sexp	-	cycles	rebut-cycle	accept-all-contested			-
cycle-rebut-4.sexp	-	cycles	rebut-cycle	accept-all-contested			-
cycle-rebut-5.sexp	-	cycles	rebut-cycle	accept-all-contested			-
rebench-restricted_mlm.C14--undeclared-leaf-0.sexp	rebench-restricted_mlm.C14	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
rebench-triton_cumsum.C09--undeclared-leaf-0.sexp	rebench-triton_cumsum.C09	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
test-time-model-adaptation.C04--undeclared-leaf-0.sexp	test-time-model-adaptation.C04	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
fre.C04--undeclared-leaf-0.sexp	fre.C04	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
self-composing-policies.C01--undeclared-leaf-0.sexp	self-composing-policies.C01	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
fre.C01--undeclared-leaf-0.sexp	fre.C01	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
pinn.C01--undeclared-leaf-0.sexp	pinn.C01	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
bam.C05--undeclared-leaf-0.sexp	bam.C05	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
adaptive-pruning.C04--undeclared-leaf-0.sexp	adaptive-pruning.C04	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
sample-specific-masks.C05--undeclared-leaf-0.sexp	sample-specific-masks.C05	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
rice.C01--undeclared-leaf-0.sexp	rice.C01	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
sample-specific-masks.C06--undeclared-leaf-0.sexp	sample-specific-masks.C06	undeclared-leaves	undeclared-leaf	reject-R1			arg:0
self-composing-policies.C01--hidden-rule-0.sexp	self-composing-policies.C01	hidden-policy-extension	hidden-rule	reject-R1			arg:0
rebench-restricted_mlm.C14--hidden-rule-0.sexp	rebench-restricted_mlm.C14	hidden-policy-extension	hidden-rule	reject-R1			arg:0
rebench-rust_codecontests.C02--hidden-rule-0.sexp	rebench-rust_codecontests.C02	hidden-policy-extension	hidden-rule	reject-R1			arg:0
rebench-triton_cumsum.C09--hidden-rule-0.sexp	rebench-triton_cumsum.C09	hidden-policy-extension	hidden-rule	reject-R1			arg:0
fre.C01--hidden-rule-0.sexp	fre.C01	hidden-policy-extension	hidden-rule	reject-R1			arg:0
fre.C04--hidden-rule-0.sexp	fre.C04	hidden-policy-extension	hidden-rule	reject-R1			arg:0
sample-specific-masks.C06--hidden-rule-0.sexp	sample-specific-masks.C06	hidden-policy-extension	hidden-rule	reject-R1			arg:0
sample-specific-masks.C05--hidden-rule-0.sexp	sample-specific-masks.C05	hidden-policy-extension	hidden-rule	reject-R1			arg:0
bam.C05--hidden-rule-0.sexp	bam.C05	hidden-policy-extension	hidden-rule	reject-R1			arg:0
rice.C01--hidden-rule-0.sexp	rice.C01	hidden-policy-extension	hidden-rule	reject-R1			arg:0
adaptive-pruning.C04--hidden-rule-0.sexp	adaptive-pruning.C04	hidden-policy-extension	hidden-rule	reject-R1			arg:0
test-time-model-adaptation.C04--hidden-rule-0.sexp	test-time-model-adaptation.C04	hidden-policy-extension	hidden-rule	reject-R1			arg:0
all-in-one.C05--hidden-contrary-0.sexp	all-in-one.C05	hidden-policy-extension	hidden-contrary	reject-R12			policy
robust-clip.C07--hidden-contrary-0.sexp	robust-clip.C07	hidden-policy-extension	hidden-contrary	reject-R12			policy
lbcs.C05--hidden-contrary-0.sexp	lbcs.C05	hidden-policy-extension	hidden-contrary	reject-R12			policy
all-in-one.C01--hidden-contrary-0.sexp	all-in-one.C01	hidden-policy-extension	hidden-contrary	reject-R12			policy
fre.C04--hidden-contrary-0.sexp	fre.C04	hidden-policy-extension	hidden-contrary	reject-R12			policy
self-composing-policies.C04--hidden-contrary-0.sexp	self-composing-policies.C04	hidden-policy-extension	hidden-contrary	reject-R12			policy
rebench-triton_cumsum.C05--hidden-contrary-0.sexp	rebench-triton_cumsum.C05	hidden-policy-extension	hidden-contrary	reject-R12			policy
ftrl.C01--hidden-contrary-0.sexp	ftrl.C01	hidden-policy-extension	hidden-contrary	reject-R12			policy
what-will-my-model-forget.C03--hidden-contrary-0.sexp	what-will-my-model-forget.C03	hidden-policy-extension	hidden-contrary	reject-R12			policy
rice.C01--hidden-contrary-0.sexp	rice.C01	hidden-policy-extension	hidden-contrary	reject-R12			policy
bbox.C02--hidden-contrary-0.sexp	bbox.C02	hidden-policy-extension	hidden-contrary	reject-R12			policy
bridging-data-gaps.C03--hidden-contrary-0.sexp	bridging-data-gaps.C03	hidden-policy-extension	hidden-contrary	reject-R12			policy
test-time-model-adaptation.C04--wrong-subst-domain-0.sexp	test-time-model-adaptation.C04	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
pinn.C01--wrong-subst-domain-0.sexp	pinn.C01	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
sample-specific-masks.C06--wrong-subst-domain-0.sexp	sample-specific-masks.C06	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
rice.C01--wrong-subst-domain-0.sexp	rice.C01	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
bam.C05--wrong-subst-domain-0.sexp	bam.C05	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
rebench-triton_cumsum.C09--wrong-subst-domain-0.sexp	rebench-triton_cumsum.C09	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
self-composing-policies.C01--wrong-subst-domain-0.sexp	self-composing-policies.C01	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
adaptive-pruning.C04--wrong-subst-domain-0.sexp	adaptive-pruning.C04	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
rebench-rust_codecontests.C02--wrong-subst-domain-0.sexp	rebench-rust_codecontests.C02	wrong-formulas	wrong-subst-domain	reject-R3			arg:0
