unit	leaf_id	formal_target	role	claim_id	claim_nl	kind	provenance	refs
fre.C04	u1	within_noise(reward_diversity, fre_all, antmaze_total_score)	attack	c04	On AntMaze, performance scales smoothly with reward diversity and FRE-all dominates all reward-subset ablations — total score FRE-all 47.3 +- 7 is the argmax over the 7 variants	observed	ai-executed	evidence/tables/table4_reward_subset_ablation.md,Table-4-row-total,evidence/figures/figure5_reward_diversity_scaling.md
pinn.C01	e1	observes(e01, low_loss_necessary_for_accuracy, pinn_benchmarks)	support	c01	Near-zero training loss is necessary for accurate PINN solutions: the pooled (PDE, optimizer, width, seed) loss-to-L2RE scatter is monotone, reaching L2RE ~ 1e-2 requires final loss ~ 1e-5 per PDE, and the loss ~ 0 / L2RE ~ 1 runs are near-constant trivial solutions (satisfy IC, fail BC)	observed	ai-executed	Figure-2,logic/experiments.md#E01-Procedure-step-3,section-4,trace/exploration_tree.yaml#N02
pinn.C01	e2	valid_instrument(low_loss_necessary_for_accuracy, e01)	support	c01	Near-zero training loss is necessary for accurate PINN solutions: the pooled (PDE, optimizer, width, seed) loss-to-L2RE scatter is monotone, reaching L2RE ~ 1e-2 requires final loss ~ 1e-5 per PDE, and the loss ~ 0 / L2RE ~ 1 runs are near-constant trivial solutions (satisfy IC, fail BC)	attested	ai-executed	logic/experiments.md#E01-Procedure-step-2,logic/experiments.md#E06-Baselines
pinn.C01	e3	covers_scope(e01, pinn_benchmarks)	support	c01	Near-zero training loss is necessary for accurate PINN solutions: the pooled (PDE, optimizer, width, seed) loss-to-L2RE scatter is monotone, reaching L2RE ~ 1e-2 requires final loss ~ 1e-5 per PDE, and the loss ~ 0 / L2RE ~ 1 runs are near-constant trivial solutions (satisfy IC, fail BC)	attested	ai-executed	logic/experiments.md#E01-Setup,logic/experiments.md#E01-Procedure
pinn.C01	e4	confounds_controlled(e01)	support	c01	Near-zero training loss is necessary for accurate PINN solutions: the pooled (PDE, optimizer, width, seed) loss-to-L2RE scatter is monotone, reaching L2RE ~ 1e-2 requires final loss ~ 1e-5 per PDE, and the loss ~ 0 / L2RE ~ 1 runs are near-constant trivial solutions (satisfy IC, fail BC)	observed	ai-executed	logic/experiments.md#E01-Procedure-step-4,logic/experiments.md#E06,Figure-2,trace/exploration_tree.yaml#N02
rice.C01	e1	derives(masknet_bound_derivation, rice_mixed_tighter_bound)	support	c01	RICE achieves a tighter sub-optimality bound via an explanation-guided mixed initial distribution: MaskNet-identified critical states give a smaller distribution mismatch coefficient (linf norm) than the random-explanation baseline (Lemma 3.5, Theorem 3.6), so the mixed-distribution bound is tighter; E03 checks the observable consequence (final reward) but reports no significance test	attested	ai-executed	logic/claims.md#C01,Lemma-3-5,Theorem-3-6,Appendix-B-2,trace/exploration_tree.yaml#N10
rice.C01	e2	assumptions_established(masknet_bound_derivation)	support	c01	RICE achieves a tighter sub-optimality bound via an explanation-guided mixed initial distribution: MaskNet-identified critical states give a smaller distribution mismatch coefficient (linf norm) than the random-explanation baseline (Lemma 3.5, Theorem 3.6), so the mixed-distribution bound is tighter; E03 checks the observable consequence (final reward) but reports no significance test	attested	ai-executed	Assumption-3-1,Assumption-3-4,logic/experiments.md#E01
rice.C01	e3	scope_licensed(rice_mixed_tighter_bound)	support	c01	RICE achieves a tighter sub-optimality bound via an explanation-guided mixed initial distribution: MaskNet-identified critical states give a smaller distribution mismatch coefficient (linf norm) than the random-explanation baseline (Lemma 3.5, Theorem 3.6), so the mixed-distribution bound is tighter; E03 checks the observable consequence (final reward) but reports no significance test	attested	ai-executed	Theorem-3-6,Appendix-B-2
sample-specific-masks.C05	e1	reports(e05, ablation_effect(three_channel_mask, smm, avg_accuracy, positive))	support	c05	Three-channel masks outperform single-channel masks on SMM (single-channel averages 49.70 percent vs full 52.53 percent over 11 datasets; GTSRB 70.7 vs 80.4, Flowers102 30.2 vs 38.7), and both the shared delta and the three-channel fmask are necessary (only-fmask averages 42.59 percent); every variant is a single-component edit trained with identical hyperparameters and mean +- std over 3 seeds	observed	ai-executed	logic/claims.md#C05,logic/experiments.md#E05,trace/exploration_tree.yaml#N07
sample-specific-masks.C05	e2	isolated(three_channel_mask, e05)	support	c05	Three-channel masks outperform single-channel masks on SMM (single-channel averages 49.70 percent vs full 52.53 percent over 11 datasets; GTSRB 70.7 vs 80.4, Flowers102 30.2 vs 38.7), and both the shared delta and the three-channel fmask are necessary (only-fmask averages 42.59 percent); every variant is a single-component edit trained with identical hyperparameters and mean +- std over 3 seeds	attested	ai-executed	logic/experiments.md#E05-Setup,logic/experiments.md#E05-Procedure-step-1
sample-specific-masks.C05	e3	matched_protocol(e05)	support	c05	Three-channel masks outperform single-channel masks on SMM (single-channel averages 49.70 percent vs full 52.53 percent over 11 datasets; GTSRB 70.7 vs 80.4, Flowers102 30.2 vs 38.7), and both the shared delta and the three-channel fmask are necessary (only-fmask averages 42.59 percent); every variant is a single-component edit trained with identical hyperparameters and mean +- std over 3 seeds	attested	ai-executed	logic/experiments.md#E05-Setup
sample-specific-masks.C05	e4	variance_reported(e05)	support	c05	Three-channel masks outperform single-channel masks on SMM (single-channel averages 49.70 percent vs full 52.53 percent over 11 datasets; GTSRB 70.7 vs 80.4, Flowers102 30.2 vs 38.7), and both the shared delta and the three-channel fmask are necessary (only-fmask averages 42.59 percent); every variant is a single-component edit trained with identical hyperparameters and mean +- std over 3 seeds	observed	ai-executed	logic/experiments.md#E05-Metrics
sample-specific-masks.C06	e1	reports(e06, compares(patch_wise, bilinear, upsampling_cost, smm_resnet_a100, favorable))	support	c06	Patch-wise interpolation upsamples sample-specific masks at lower cost than bilinear (and a fortiori bicubic): 0.151e6 vs 0.602e6 pixel accesses, 0.026 s vs 0.062 s per 256-image batch on A100, and no backprop through upsampling	observed	ai-executed	logic/claims.md#C06,logic/experiments.md#E06-Metrics,logic/experiments.md#E06-Procedure-step-4
sample-specific-masks.C06	e2	matched_setup(patch_wise, bilinear, e06)	support	c06	Patch-wise interpolation upsamples sample-specific masks at lower cost than bilinear (and a fortiori bicubic): 0.151e6 vs 0.602e6 pixel accesses, 0.026 s vs 0.062 s per 256-image batch on A100, and no backprop through upsampling	attested	ai-executed	logic/experiments.md#E06-Setup
sample-specific-masks.C06	e3	valid_measurement(upsampling_cost, e06)	support	c06	Patch-wise interpolation upsamples sample-specific masks at lower cost than bilinear (and a fortiori bicubic): 0.151e6 vs 0.602e6 pixel accesses, 0.026 s vs 0.062 s per 256-image batch on A100, and no backprop through upsampling	attested	ai-executed	logic/experiments.md#E06-Metrics
sample-specific-masks.C06	e4	variance_reported(e06)	support	c06	Patch-wise interpolation upsamples sample-specific masks at lower cost than bilinear (and a fortiori bicubic): 0.151e6 vs 0.602e6 pixel accesses, 0.026 s vs 0.062 s per 256-image batch on A100, and no backprop through upsampling	observed	ai-executed	logic/experiments.md#E06-Metrics
sample-specific-masks.C06	e5	scope_matched(patch_wise, upsampling_cost, smm_resnet_a100)	support	c06	Patch-wise interpolation upsamples sample-specific masks at lower cost than bilinear (and a fortiori bicubic): 0.151e6 vs 0.602e6 pixel accesses, 0.026 s vs 0.062 s per 256-image batch on A100, and no backprop through upsampling	attested	ai-executed	logic/experiments.md#E03,logic/experiments.md#E05
self-composing-policies.C01	e1	derives(appendix_b_arith, linear_param_growth_componet)	support	c01	CompoNet parameter count grows linearly in the number of tasks n: each module has six linear maps and one feed-forward block sized only by d_enc, d_model and |A| (constants in n), so total(n) = c0 + c1*n = O(n), matched by counting parameters of models instantiated for k=1..300	attested	ai-executed	logic/claims.md#C01,Appendix-B,logic/experiments.md#E04-Procedure-steps-1-2,Figure-3-right,Figure-B.1,trace/exploration_tree.yaml#N07
self-composing-policies.C01	e2	assumptions_established(appendix_b_arith)	support	c01	CompoNet parameter count grows linearly in the number of tasks n: each module has six linear maps and one feed-forward block sized only by d_enc, d_model and |A| (constants in n), so total(n) = c0 + c1*n = O(n), matched by counting parameters of models instantiated for k=1..300	attested	ai-executed	logic/experiments.md#E04-Setup,Figure-3-caption,Appendix-B
self-composing-policies.C01	e3	scope_licensed(linear_param_growth_componet)	support	c01	CompoNet parameter count grows linearly in the number of tasks n: each module has six linear maps and one feed-forward block sized only by d_enc, d_model and |A| (constants in n), so total(n) = c0 + c1*n = O(n), matched by counting parameters of models instantiated for k=1..300	attested	ai-executed	logic/experiments.md#E04-Setup,Appendix-B,trace/exploration_tree.yaml#N07
test-time-model-adaptation.C04	u1	confounded_ablation(entropy_only_fitness, cma_es_tta, adaptation_collapse)	attack	c04	Entropy-only fitness cannot provide stable CMA-ES learning signals for online TTA: norm-layer + entropy collapses to 0.1% and prompts + entropy reaches 44.9% vs NoAdapt 55.5% on ImageNet-C severity 5	observed	ai-executed	logic/experiments.md#E06-exp4,trace/exploration_tree.yaml#N02-N03,Table-9
rebench-restricted_mlm.C14	e1	observes(em05, hand_rolled_reciprocal_nan, restricted_primitive_mlm)	support	c14	Hand-rolled 1/x reciprocal normalisations NaN at init under the restricted primitive set: 7 of 22 MALT runs (01,06,09,11,16,19,20) hit NaN when normalisation used a hand-rolled reciprocal, and substituting a fixed scalar residual restored training	observed	ai-executed	logic/claims.md#C14,evidence/tables/malt_attempts.md#Failure-mode-summary-row-1,trace/exploration_tree.yaml#M05
rebench-restricted_mlm.C14	e2	valid_instrument(hand_rolled_reciprocal_nan, em05)	support	c14	Hand-rolled 1/x reciprocal normalisations NaN at init under the restricted primitive set: 7 of 22 MALT runs (01,06,09,11,16,19,20) hit NaN when normalisation used a hand-rolled reciprocal, and substituting a fixed scalar residual restored training	attested	ai-executed	logic/experiments.md#EM05-MALT-preamble,evidence/tables/malt_attempts.md
rebench-restricted_mlm.C14	e3	covers_scope(em05, restricted_primitive_mlm)	support	c14	Hand-rolled 1/x reciprocal normalisations NaN at init under the restricted primitive set: 7 of 22 MALT runs (01,06,09,11,16,19,20) hit NaN when normalisation used a hand-rolled reciprocal, and substituting a fixed scalar residual restored training	attested	ai-executed	logic/experiments.md#EM05-MALT-preamble,evidence/tables/malt_attempts.md
rebench-rust_codecontests.C02	e1	inspects(e01, rust_codecontests_solver, batch_of_18_generations)	support	c02	N=18 parallel generations per batch is the shipped scaffold configured operating point: solve_code_contests_rust.py binds tries=18 and num_global_loops=3 at module level, passes n=tries into chat.completions.create, and returns early once a batch yields a survivor, bounding candidates at 18 x 3 = 54	observed	ai-executed	logic/claims.md#C02,src/kernel/solve_code_contests_rust.py#25,src/kernel/solve_code_contests_rust.py#27,src/kernel/solve_code_contests_rust.py#173,src/kernel/solve_code_contests_rust.py#188-194,logic/experiments.md#E01,logic/experiments.md#E05
rebench-rust_codecontests.C02	e2	version_matched(rust_codecontests_solver, e01)	support	c02	N=18 parallel generations per batch is the shipped scaffold configured operating point: solve_code_contests_rust.py binds tries=18 and num_global_loops=3 at module level, passes n=tries into chat.completions.create, and returns early once a batch yields a survivor, bounding candidates at 18 x 3 = 54	attested	ai-executed	logic/experiments.md#E10,src/kernel/solve_code_contests_rust.py#25
rebench-rust_codecontests.C02	e3	covers_paths(e01, rust_codecontests_solver)	support	c02	N=18 parallel generations per batch is the shipped scaffold configured operating point: solve_code_contests_rust.py binds tries=18 and num_global_loops=3 at module level, passes n=tries into chat.completions.create, and returns early once a batch yields a survivor, bounding candidates at 18 x 3 = 54	observed	ai-executed	src/kernel/solve_code_contests_rust.py#173,src/kernel/solve_code_contests_rust.py#188-194,logic/experiments.md#E05
rebench-triton_cumsum.C09	u1	measurement_artifact(bandwidth_bound_floor, pytorch_two_cumsum)	attack	c09	The pure-PyTorch two-cumsum pipeline is memory-bandwidth-bound and cannot beat the reference: eager variants cluster at 2.2-5.0 ms and torch.compile plateaus at 1.5-1.8 ms on H100 at N=1e8, above the 0.47 reference, because each invocation moves about 1.6 GB of HBM traffic	observed	ai-executed	trace/exploration_tree.yaml#header-score-filter-below-0.47-excluded,logic/claims.md#C12,evidence/tables/malt_attempts.md#347447-attempt-3-score-0.430
