ablation	input	base	family	operator	expected	full_actual	ablation_actual	missed_reject
no-cq	fixtures/mutants/A--unknown-backend-0.sexp	A	certificate-tampering	unknown-backend	reject-R13	reject-R13	reject-R13	false
no-cq	fixtures/mutants/malformed/A--codec-sigma-junk-0.sexp	A	codec-corruption	codec-sigma-junk	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/A--codec-sigma-order-0.sexp	A	codec-corruption	codec-sigma-order	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/A--codec-junk-section-0.sexp	A	codec-corruption	codec-junk-section	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/A--codec-core-version-0.sexp	A	codec-corruption	codec-core-version	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/A--codec-replay-order-0.sexp	A	codec-corruption	codec-replay-order	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/A--codec-theory-mismatch-0.sexp	A	codec-corruption	codec-theory-mismatch	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/A--codec-dangling-attack-0.sexp	A	codec-corruption	codec-dangling-attack	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/A--codec-truncate-0.sexp	A	codec-corruption	codec-truncate	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/B--undeclared-leaf-0.sexp	B	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/B--undeclared-leaf-1.sexp	B	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/B--hidden-rule-0.sexp	B	hidden-policy-extension	hidden-rule	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/B--hidden-contrary-0.sexp	B	hidden-policy-extension	hidden-contrary	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/B--wrong-subst-domain-0.sexp	B	wrong-formulas	wrong-subst-domain	reject-R3	reject-R3	reject-R3	false
no-cq	fixtures/mutants/B--wrong-premise-0.sexp	B	wrong-formulas	wrong-premise	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/B--open-obligation-0.sexp	B	open-obligations	open-obligation	reject-R5	reject-R5	reject-R5	false
no-cq	fixtures/mutants/B--hole-obligation-0.sexp	B	open-obligations	hole-obligation	reject-IncompleteArgument	reject-IncompleteArgument	accept-all-contested	true
no-cq	fixtures/mutants/B--wrong-discharge-0.sexp	B	open-obligations	wrong-discharge	reject-R6	reject-R6	reject-R6	false
no-cq	fixtures/mutants/B--trusted-assurance-0.sexp	B	certificate-tampering	trusted-assurance	reject-R7	reject-R7	reject-R7	false
no-cq	fixtures/mutants/B--unlicensed-attack-0.sexp	B	bad-attack-targets	unlicensed-attack	reject-R11	reject-R11	reject-R11	false
no-cq	fixtures/mutants/B--drop-covering-attack-0.sexp	B	bad-attack-targets	drop-covering-attack	reject-MissingConflict	reject-MissingConflict	reject-MissingConflict	false
no-cq	fixtures/mutants/B--group-conflict-0.sexp	B	data-integrity	group-conflict	reject-R9	reject-R9	reject-R9	false
no-cq	fixtures/mutants/B--retract-rule-0.sexp	B	localization	retract-rule	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/B--twin-support-defect-0.sexp	B	localization	twin-support-defect	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/B--undeclared-pred-0.sexp	B	signature	undeclared-pred	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/B--wrong-pred-arity-0.sexp	B	signature	wrong-pred-arity	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/B--wrong-arg-sort-0.sexp	B	signature	wrong-arg-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/B--wrong-arg-sort-1.sexp	B	signature	wrong-arg-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/B--undeclared-con-0.sexp	B	signature	undeclared-con	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/B--wrong-theta-sort-0.sexp	B	signature	wrong-theta-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/B--out-of-scope-var-0.sexp	B	hidden-policy-extension	out-of-scope-var	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/B--duplicate-backend-0.sexp	B	certificate-tampering	duplicate-backend	reject-R13	reject-R13	reject-R13	false
no-cq	fixtures/mutants/B--unknown-backend-0.sexp	B	certificate-tampering	unknown-backend	reject-R13	reject-R13	reject-R13	false
no-cq	fixtures/mutants/malformed/B--codec-junk-section-0.sexp	B	codec-corruption	codec-junk-section	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/B--codec-core-version-0.sexp	B	codec-corruption	codec-core-version	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/B--codec-replay-order-0.sexp	B	codec-corruption	codec-replay-order	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/B--codec-theory-mismatch-0.sexp	B	codec-corruption	codec-theory-mismatch	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/B--codec-dangling-attack-0.sexp	B	codec-corruption	codec-dangling-attack	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/B--codec-truncate-0.sexp	B	codec-corruption	codec-truncate	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/E1--undeclared-leaf-0.sexp	E1	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E1--undeclared-leaf-1.sexp	E1	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E1--hidden-rule-0.sexp	E1	hidden-policy-extension	hidden-rule	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E1--hidden-contrary-0.sexp	E1	hidden-policy-extension	hidden-contrary	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/E1--wrong-subst-domain-0.sexp	E1	wrong-formulas	wrong-subst-domain	reject-R3	reject-R3	reject-R3	false
no-cq	fixtures/mutants/E1--wrong-premise-0.sexp	E1	wrong-formulas	wrong-premise	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/E1--open-obligation-0.sexp	E1	open-obligations	open-obligation	reject-R5	reject-R5	reject-R5	false
no-cq	fixtures/mutants/E1--hole-obligation-0.sexp	E1	open-obligations	hole-obligation	reject-IncompleteArgument	reject-IncompleteArgument	accept-justified	true
no-cq	fixtures/mutants/E1--wrong-discharge-0.sexp	E1	open-obligations	wrong-discharge	reject-R6	reject-R6	reject-R6	false
no-cq	fixtures/mutants/E1--trusted-assurance-0.sexp	E1	certificate-tampering	trusted-assurance	reject-R7	reject-R7	reject-R7	false
no-cq	fixtures/mutants/E1--unlicensed-attack-0.sexp	E1	bad-attack-targets	unlicensed-attack	reject-R11	reject-R11	reject-R11	false
no-cq	fixtures/mutants/E1--group-conflict-0.sexp	E1	data-integrity	group-conflict	reject-R9	reject-R9	reject-R9	false
no-cq	fixtures/mutants/E1--retract-rule-0.sexp	E1	localization	retract-rule	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E1--undeclared-pred-0.sexp	E1	signature	undeclared-pred	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E1--wrong-pred-arity-0.sexp	E1	signature	wrong-pred-arity	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E1--wrong-arg-sort-0.sexp	E1	signature	wrong-arg-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E1--wrong-arg-sort-1.sexp	E1	signature	wrong-arg-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E1--undeclared-con-0.sexp	E1	signature	undeclared-con	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E1--wrong-theta-sort-0.sexp	E1	signature	wrong-theta-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E1--out-of-scope-var-0.sexp	E1	hidden-policy-extension	out-of-scope-var	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/E1--duplicate-backend-0.sexp	E1	certificate-tampering	duplicate-backend	reject-R13	reject-R13	reject-R13	false
no-cq	fixtures/mutants/E1--unknown-backend-0.sexp	E1	certificate-tampering	unknown-backend	reject-R13	reject-R13	reject-R13	false
no-cq	fixtures/mutants/malformed/E1--codec-junk-section-0.sexp	E1	codec-corruption	codec-junk-section	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E1--codec-core-version-0.sexp	E1	codec-corruption	codec-core-version	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E1--codec-replay-order-0.sexp	E1	codec-corruption	codec-replay-order	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E1--codec-theory-mismatch-0.sexp	E1	codec-corruption	codec-theory-mismatch	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E1--codec-truncate-0.sexp	E1	codec-corruption	codec-truncate	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/E2--hidden-contrary-0.sexp	E2	hidden-policy-extension	hidden-contrary	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/E2--group-conflict-0.sexp	E2	data-integrity	group-conflict	reject-R9	reject-R9	reject-R9	false
no-cq	fixtures/mutants/E2--undeclared-pred-0.sexp	E2	signature	undeclared-pred	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E2--wrong-pred-arity-0.sexp	E2	signature	wrong-pred-arity	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E2--wrong-arg-sort-0.sexp	E2	signature	wrong-arg-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E2--wrong-arg-sort-1.sexp	E2	signature	wrong-arg-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E2--undeclared-con-0.sexp	E2	signature	undeclared-con	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E2--out-of-scope-var-0.sexp	E2	hidden-policy-extension	out-of-scope-var	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/E2--duplicate-backend-0.sexp	E2	certificate-tampering	duplicate-backend	reject-R13	reject-R13	reject-R13	false
no-cq	fixtures/mutants/E2--unknown-backend-0.sexp	E2	certificate-tampering	unknown-backend	reject-R13	reject-R13	reject-R13	false
no-cq	fixtures/mutants/malformed/E2--codec-junk-section-0.sexp	E2	codec-corruption	codec-junk-section	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E2--codec-core-version-0.sexp	E2	codec-corruption	codec-core-version	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E2--codec-replay-order-0.sexp	E2	codec-corruption	codec-replay-order	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E2--codec-theory-mismatch-0.sexp	E2	codec-corruption	codec-theory-mismatch	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E2--codec-truncate-0.sexp	E2	codec-corruption	codec-truncate	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/E3--undeclared-leaf-0.sexp	E3	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E3--undeclared-leaf-1.sexp	E3	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E3--hidden-rule-0.sexp	E3	hidden-policy-extension	hidden-rule	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E3--hidden-contrary-0.sexp	E3	hidden-policy-extension	hidden-contrary	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/E3--wrong-subst-domain-0.sexp	E3	wrong-formulas	wrong-subst-domain	reject-R3	reject-R3	reject-R3	false
no-cq	fixtures/mutants/E3--wrong-premise-0.sexp	E3	wrong-formulas	wrong-premise	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/E3--open-obligation-0.sexp	E3	open-obligations	open-obligation	reject-R5	reject-R5	reject-R5	false
no-cq	fixtures/mutants/E3--hole-obligation-0.sexp	E3	open-obligations	hole-obligation	reject-IncompleteArgument	reject-IncompleteArgument	accept-other	true
no-cq	fixtures/mutants/E3--wrong-discharge-0.sexp	E3	open-obligations	wrong-discharge	reject-R6	reject-R6	reject-R6	false
no-cq	fixtures/mutants/E3--trusted-assurance-0.sexp	E3	certificate-tampering	trusted-assurance	reject-R7	reject-R7	reject-R7	false
no-cq	fixtures/mutants/E3--bad-attack-position-0.sexp	E3	bad-attack-targets	bad-attack-position	reject-R10	reject-R10	reject-R10	false
no-cq	fixtures/mutants/E3--bad-attack-position-1.sexp	E3	bad-attack-targets	bad-attack-position	reject-R10	reject-R10	reject-R10	false
no-cq	fixtures/mutants/E3--unlicensed-attack-0.sexp	E3	bad-attack-targets	unlicensed-attack	reject-R11	reject-R11	reject-R11	false
no-cq	fixtures/mutants/E3--drop-covering-attack-0.sexp	E3	bad-attack-targets	drop-covering-attack	reject-MissingConflict	reject-MissingConflict	reject-MissingConflict	false
no-cq	fixtures/mutants/E3--group-conflict-0.sexp	E3	data-integrity	group-conflict	reject-R9	reject-R9	reject-R9	false
no-cq	fixtures/mutants/E3--retract-rule-0.sexp	E3	localization	retract-rule	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E3--twin-support-defect-0.sexp	E3	localization	twin-support-defect	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/E3--cross-stage-defect-0.sexp	E3	localization	cross-stage-defect	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/E3--undeclared-pred-0.sexp	E3	signature	undeclared-pred	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E3--wrong-pred-arity-0.sexp	E3	signature	wrong-pred-arity	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E3--wrong-arg-sort-0.sexp	E3	signature	wrong-arg-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E3--wrong-arg-sort-1.sexp	E3	signature	wrong-arg-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E3--undeclared-con-0.sexp	E3	signature	undeclared-con	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E3--wrong-theta-sort-0.sexp	E3	signature	wrong-theta-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E3--out-of-scope-var-0.sexp	E3	hidden-policy-extension	out-of-scope-var	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/E3--duplicate-backend-0.sexp	E3	certificate-tampering	duplicate-backend	reject-R13	reject-R13	reject-R13	false
no-cq	fixtures/mutants/E3--unknown-backend-0.sexp	E3	certificate-tampering	unknown-backend	reject-R13	reject-R13	reject-R13	false
no-cq	fixtures/mutants/malformed/E3--codec-junk-section-0.sexp	E3	codec-corruption	codec-junk-section	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E3--codec-core-version-0.sexp	E3	codec-corruption	codec-core-version	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E3--codec-replay-order-0.sexp	E3	codec-corruption	codec-replay-order	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E3--codec-theory-mismatch-0.sexp	E3	codec-corruption	codec-theory-mismatch	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E3--codec-dangling-attack-0.sexp	E3	codec-corruption	codec-dangling-attack	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E3--codec-truncate-0.sexp	E3	codec-corruption	codec-truncate	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/E4--undeclared-leaf-0.sexp	E4	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E4--undeclared-leaf-1.sexp	E4	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E4--hidden-rule-0.sexp	E4	hidden-policy-extension	hidden-rule	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E4--hidden-contrary-0.sexp	E4	hidden-policy-extension	hidden-contrary	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/E4--wrong-subst-domain-0.sexp	E4	wrong-formulas	wrong-subst-domain	reject-R3	reject-R3	reject-R3	false
no-cq	fixtures/mutants/E4--wrong-premise-0.sexp	E4	wrong-formulas	wrong-premise	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/E4--open-obligation-0.sexp	E4	open-obligations	open-obligation	reject-R5	reject-R5	reject-R5	false
no-cq	fixtures/mutants/E4--hole-obligation-0.sexp	E4	open-obligations	hole-obligation	reject-IncompleteArgument	reject-IncompleteArgument	accept-other	true
no-cq	fixtures/mutants/E4--wrong-discharge-0.sexp	E4	open-obligations	wrong-discharge	reject-R6	reject-R6	reject-R6	false
no-cq	fixtures/mutants/E4--trusted-assurance-0.sexp	E4	certificate-tampering	trusted-assurance	reject-R7	reject-R7	reject-R7	false
no-cq	fixtures/mutants/E4--bad-attack-position-0.sexp	E4	bad-attack-targets	bad-attack-position	reject-R10	reject-R10	reject-R10	false
no-cq	fixtures/mutants/E4--bad-attack-position-1.sexp	E4	bad-attack-targets	bad-attack-position	reject-R10	reject-R10	reject-R10	false
no-cq	fixtures/mutants/E4--unlicensed-attack-0.sexp	E4	bad-attack-targets	unlicensed-attack	reject-R11	reject-R11	reject-R11	false
no-cq	fixtures/mutants/E4--drop-covering-attack-0.sexp	E4	bad-attack-targets	drop-covering-attack	reject-MissingConflict	reject-MissingConflict	reject-MissingConflict	false
no-cq	fixtures/mutants/E4--group-conflict-0.sexp	E4	data-integrity	group-conflict	reject-R9	reject-R9	reject-R9	false
no-cq	fixtures/mutants/E4--retract-rule-0.sexp	E4	localization	retract-rule	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E4--twin-support-defect-0.sexp	E4	localization	twin-support-defect	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/E4--cross-stage-defect-0.sexp	E4	localization	cross-stage-defect	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/E4--undeclared-pred-0.sexp	E4	signature	undeclared-pred	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E4--wrong-pred-arity-0.sexp	E4	signature	wrong-pred-arity	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E4--wrong-arg-sort-0.sexp	E4	signature	wrong-arg-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E4--wrong-arg-sort-1.sexp	E4	signature	wrong-arg-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E4--undeclared-con-0.sexp	E4	signature	undeclared-con	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E4--wrong-theta-sort-0.sexp	E4	signature	wrong-theta-sort	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E4--out-of-scope-var-0.sexp	E4	hidden-policy-extension	out-of-scope-var	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/E4--duplicate-backend-0.sexp	E4	certificate-tampering	duplicate-backend	reject-R13	reject-R13	reject-R13	false
no-cq	fixtures/mutants/E4--unknown-backend-0.sexp	E4	certificate-tampering	unknown-backend	reject-R13	reject-R13	reject-R13	false
no-cq	fixtures/mutants/malformed/E4--codec-junk-section-0.sexp	E4	codec-corruption	codec-junk-section	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E4--codec-core-version-0.sexp	E4	codec-corruption	codec-core-version	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E4--codec-replay-order-0.sexp	E4	codec-corruption	codec-replay-order	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E4--codec-theory-mismatch-0.sexp	E4	codec-corruption	codec-theory-mismatch	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E4--codec-dangling-attack-0.sexp	E4	codec-corruption	codec-dangling-attack	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/malformed/E4--codec-truncate-0.sexp	E4	codec-corruption	codec-truncate	codec-reject	codec-fail	codec-fail	false
no-cq	fixtures/mutants/E5--undeclared-leaf-0.sexp	E5	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E5--undeclared-leaf-1.sexp	E5	undeclared-leaves	undeclared-leaf	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E5--hidden-rule-0.sexp	E5	hidden-policy-extension	hidden-rule	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E5--hidden-contrary-0.sexp	E5	hidden-policy-extension	hidden-contrary	reject-R12	reject-R12	reject-R12	false
no-cq	fixtures/mutants/E5--wrong-subst-domain-0.sexp	E5	wrong-formulas	wrong-subst-domain	reject-R3	reject-R3	reject-R3	false
no-cq	fixtures/mutants/E5--wrong-premise-0.sexp	E5	wrong-formulas	wrong-premise	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/E5--open-obligation-0.sexp	E5	open-obligations	open-obligation	reject-R5	reject-R5	reject-R5	false
no-cq	fixtures/mutants/E5--hole-obligation-0.sexp	E5	open-obligations	hole-obligation	reject-IncompleteArgument	reject-IncompleteArgument	accept-other	true
no-cq	fixtures/mutants/E5--wrong-discharge-0.sexp	E5	open-obligations	wrong-discharge	reject-R6	reject-R6	reject-R6	false
no-cq	fixtures/mutants/E5--trusted-assurance-0.sexp	E5	certificate-tampering	trusted-assurance	reject-R7	reject-R7	reject-R7	false
no-cq	fixtures/mutants/E5--bad-attack-position-0.sexp	E5	bad-attack-targets	bad-attack-position	reject-R10	reject-R10	reject-R10	false
no-cq	fixtures/mutants/E5--bad-attack-position-1.sexp	E5	bad-attack-targets	bad-attack-position	reject-R10	reject-R10	reject-R10	false
no-cq	fixtures/mutants/E5--unlicensed-attack-0.sexp	E5	bad-attack-targets	unlicensed-attack	reject-R11	reject-R11	reject-R11	false
no-cq	fixtures/mutants/E5--drop-covering-attack-0.sexp	E5	bad-attack-targets	drop-covering-attack	reject-MissingConflict	reject-MissingConflict	reject-MissingConflict	false
no-cq	fixtures/mutants/E5--group-conflict-0.sexp	E5	data-integrity	group-conflict	reject-R9	reject-R9	reject-R9	false
no-cq	fixtures/mutants/E5--retract-rule-0.sexp	E5	localization	retract-rule	reject-R1	reject-R1	reject-R1	false
no-cq	fixtures/mutants/E5--twin-support-defect-0.sexp	E5	localization	twin-support-defect	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/E5--cross-stage-defect-0.sexp	E5	localization	cross-stage-defect	reject-R4	reject-R4	reject-R4	false
no-cq	fixtures/mutants/E5--undeclared-pred-0.sexp	E5	signature	undeclared-pred	reject-R2	reject-R2	reject-R2	false
no-cq	fixtures/mutants/E5--wrong-pred-arity-0.sexp	E5	signature	wrong-pred-arity	reject-R2	reject-R2	reject-R2	false
